company,company_slug,status,web_path,output_path,source_asset_id,source_role,source_scope,source_page_url,source_url,source_local_path,source_ext,source_width,source_height,background_status,display_status,display_reason,notes,generated_at
Altis Biologics,altis-biologics,ok,./assets/company_logos/altis-biologics.png,web\assets\company_logos\altis-biologics.png,asset_212163def11e,favicon_or_touch_icon,operating_company,https://www.altisbiosystems.com/repligut-kit-info/,https://www.altisbiosystems.com/wp-content/uploads/2023/07/cropped-favicon-altis-192x192.png,assets\official_media\operating_company\altis_biologics\logo\logo_candidate_8ba328809d.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_a2a692a4f8d6:unsupported_extension:.svg; asset_619686490dbb:unsupported_extension:.svg,2026-05-23T01:25:45
Alvi Prague,alvi-prague,ok,./assets/company_logos/alvi-prague.png,web\assets\company_logos\alvi-prague.png,asset_70fb0ce26d54,operating_company_logo_img,operating_company,https://alviprague.kz/,https://alviprague.kz/image/catalog/logo-alvi.png,assets\official_media\operating_company\alvi_prague\logo\logo_candidate_ce36f812cd.png,.png,230,97,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
APS,aps,ok,./assets/company_logos/aps.png,web\assets\company_logos\aps.png,asset_f47cb37a1853,operating_company_logo_img,operating_company,https://www.apolomed.com/,https://www.apolomed.com/wp-content/themes/apolomed-theme/images/logo-footer.png,assets\official_media\operating_company\aps\logo\logo_candidate_c6810d8645.png,.png,1462,352,alpha_preserved,candidate_hidden,source_does_not_match_company_identity,asset_21b51cacfc73:unsupported_extension:.svg; asset_6cefd4a2ede2:unsupported_extension:.svg; asset_65f3ebc8f09d:unsupported_extension:.svg; asset_b24db3912320:unsupported_extension:.svg; asset_617dab7c5aeb:unsupported_extension:.svg,2026-05-23T01:25:45
Aptos,aptos,ok,./assets/company_logos/aptos.png,web\assets\company_logos\aptos.png,asset_0ff3ebec3263,favicon_or_touch_icon,operating_company,https://www.aptosmedical.com/,https://static.wixstatic.com/media/8f0c8c_f4f5c16cac7e444496c41daf788d2bf3%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/8f0c8c_f4f5c16cac7e444496c41daf788d2bf3%7Emv2.png,assets\official_media\operating_company\aptos\logo\logo_candidate_a4cf0f4d76.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_f0f0bad4ac55:unsupported_extension:.svg; asset_d3e46d357e77:UnidentifiedImageError; asset_81557f17cdf3:UnidentifiedImageError; asset_ce61e0f6850b:unsupported_extension:.svg; asset_7499520f0fa9:unsupported_extension:.svg,2026-05-23T01:25:45
Apyx Medical,apyx-medical,ok,./assets/company_logos/apyx-medical.png,web\assets\company_logos\apyx-medical.png,asset_307723725d4f,favicon_or_touch_icon,operating_company,http://www.apyxmedical.com/,https://apyxmedical.com/wp-content/uploads/2026/01/cropped-apyxfavicon-192x192.png,assets\official_media\operating_company\apyx_medical\logo\logo_candidate_1760ca1443.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_f3d286de7fc9:unsupported_extension:.svg; asset_a566322b78a7:unsupported_extension:.svg; asset_7fde7bee0aa6:unsupported_extension:.svg; asset_e418ac9e640e:unsupported_extension:.svg; asset_06d2e7537bf9:unsupported_extension:.svg,2026-05-23T01:25:45
Aquavit Pharmaceuticals,aquavit-pharmaceuticals,ok,./assets/company_logos/aquavit-pharmaceuticals.png,web\assets\company_logos\aquavit-pharmaceuticals.png,asset_444779b0bbb8,operating_company_logo_img,operating_company,https://www.aquavitpharma.com/aqt-002-skin-workout,"https://static.wixstatic.com/media/42851a_e1725ec5314044e2a43a20585ad85c92~mv2.png/v1/fill/w_152,h_50,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/aquavit%20logo%20v1.png",assets\official_media\operating_company\aquavit_pharmaceuticals\logo\logo_candidate_5d4fb79226.png,.png,152,50,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Archidemia,archidemia,ok,./assets/company_logos/archidemia.png,web\assets\company_logos\archidemia.png,asset_84469482fc6c,favicon_or_touch_icon,operating_company,https://archidemia.com/,https://archidemia.com/wp-content/uploads/2019/08/cropped-ARCHIDEMIA512--192x192.png,assets\official_media\operating_company\archidemia\logo\logo_candidate_34a61936dd.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Arion,arion,ok,./assets/company_logos/arion.png,web\assets\company_logos\arion.png,asset_c24ca0385876,operating_company_logo_img,operating_company,https://www.laboratoires-arion.fr/,https://www.laboratoires-arion.fr/templates/itl_hudson/images/logo.png,assets\official_media\operating_company\arion\logo\logo_candidate_424cc3aaa7.png,.png,200,75,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Arkana Cosmetics,arkana-cosmetics,ok,./assets/company_logos/arkana-cosmetics.png,web\assets\company_logos\arkana-cosmetics.png,asset_0637e27e784c,operating_company_logo_img,operating_company,https://arkanacosmetics.com.mx/,http://arkanacosmetics.com.mx/wp-content/uploads/2023/12/arkana_logo.png,assets\official_media\operating_company\arkana_cosmetics\logo\logo_candidate_54017dfc59.png,.png,300,73,alpha_preserved,trusted_display,company_identity_match,asset_60959ccefa29:unsupported_extension:.svg; asset_d44ef755b86e:unsupported_extension:.svg; asset_cddfd6100555:unsupported_extension:.svg; asset_0fdfefb3c73b:unsupported_extension:.svg; asset_509f9036c0a7:unsupported_extension:.svg,2026-05-23T01:25:45
Arthrex,arthrex,ok,./assets/company_logos/arthrex.png,web\assets\company_logos\arthrex.png,asset_0cefa17afcc1,operating_company_logo_img,operating_company,https://www.arthrexsa.co.za/,https://www.arthrexsa.co.za/wp-content/uploads/2025/01/674474d57241d75a33b35093_BR1-005754-en-US_A_Arthrex-Aesthetics_Logo_Titanium-Gold-_1_.png,assets\official_media\operating_company\arthrex\logo\logo_candidate_024c7c3e31.png,.png,5879,548,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Asclepion,asclepion,ok,./assets/company_logos/asclepion.png,web\assets\company_logos\asclepion.png,asset_2e0158dda56b,favicon_or_touch_icon,operating_company,https://asclepionuk.com/,https://asclepionuk.com/wp-content/uploads/2022/07/logo-corretto-manualmente.png,assets\official_media\operating_company\asclepion\logo\logo_candidate_363bf0df04.png,.png,300,200,alpha_preserved,trusted_display,company_identity_match,asset_a661fa18ddc5:unsupported_extension:.svg; asset_b3e751a4024e:unsupported_extension:.svg; asset_351cbce8b925:unsupported_extension:.svg; asset_0e37af79472d:unsupported_extension:.svg; asset_70135e9eecb1:unsupported_extension:.svg,2026-05-23T01:25:45
Asclepion Laser,asclepion-laser,ok,./assets/company_logos/asclepion-laser.png,web\assets\company_logos\asclepion-laser.png,asset_a14a1d3217e4,operating_company_logo_img,operating_company,https://asclepion.com.ua/,https://asclepion.com.ua/img/core-img/logo.png,assets\official_media\operating_company\asclepion_laser\logo\logo_candidate_6c04972cbe.png,.png,2164,1339,alpha_preserved,trusted_display,company_identity_match,asset_e3c57b6e01e1:unsupported_extension:.svg; asset_944d6afb9df4:unsupported_extension:.svg; asset_02bd80fb1357:unsupported_extension:.svg; asset_1e75e0111fe1:unsupported_extension:.svg; asset_cd7c863904bf:unsupported_extension:.svg,2026-05-23T01:25:45
Aspen Pharmacare,aspen-pharmacare,ok,./assets/company_logos/aspen-pharmacare.png,web\assets\company_logos\aspen-pharmacare.png,asset_b1797e5d09f7,favicon_or_touch_icon,operating_company,https://aspenpharma.ca/,https://aspenpharma.ca/wp-content/uploads/2016/04/cropped-aspen-square-300x300.png,assets\official_media\operating_company\aspen_pharmacare\logo\logo_candidate_b2a99650ff.png,.png,300,300,alpha_preserved,trusted_display,company_identity_match,asset_4f94cd514fb1:unsupported_extension:.svg,2026-05-23T01:25:45
Asterasys,asterasys,ok,./assets/company_logos/asterasys.png,web\assets\company_logos\asterasys.png,asset_8197bc07f1a9,favicon_or_touch_icon,operating_company,https://asterasys-iberia.com/,https://asterasys-iberia.com/wp-content/uploads/2023/01/cropped-asterasys-iberia_horizontal-192x192.jpg,assets\official_media\operating_company\asterasys\logo\logo_candidate_edb70f11db.jpg,.jpg,192,192,light_background_removed,trusted_display,company_identity_match,asset_8f68fab3a5d5:unsupported_extension:.svg; asset_980c5d07d350:unsupported_extension:.svg; asset_bdba4bbbfaa6:unsupported_extension:.svg; asset_04117c5096a6:unsupported_extension:.svg; asset_29256f48ab61:unsupported_extension:.svg,2026-05-23T01:25:45
Aurora Medical,aurora-medical,ok,./assets/company_logos/aurora-medical.png,web\assets\company_logos\aurora-medical.png,asset_8aaafc0e4a2d,operating_company_logo_img,operating_company,https://www.aurorabiomed.com.cn/,https://www.aurorabiomed.com.cn/wp-content/uploads/2022/02/WHO-logo-150x150.png,assets\official_media\operating_company\aurora_medical\logo\logo_candidate_4016a8dfe3.png,.png,150,150,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Bayer,bayer,ok,./assets/company_logos/bayer.png,web\assets\company_logos\bayer.png,asset_9d4b08a10fcc,operating_company_logo_img,operating_company,https://dati.zva.gov.lv/zalu-registrs/en/info/96-0058,https://dati.zva.gov.lv/zalu-registrs/assets/laake75_logo_en_rgb_2017.png,assets\official_media\operating_company\bayer\logo\logo_candidate_1200b25bf3.png,.png,1258,615,alpha_preserved,candidate_hidden,source_does_not_match_company_identity,asset_2baf384a9ea2:unsupported_extension:.svg; asset_280f730f6b24:unsupported_extension:.svg; asset_6dea79c69ccb:unsupported_extension:.svg; asset_df05c46398a2:unsupported_extension:.svg,2026-05-23T01:25:45
Baz Biomedic,baz-biomedic,ok,./assets/company_logos/baz-biomedic.png,web\assets\company_logos\baz-biomedic.png,asset_f7f61a5af452,favicon_or_touch_icon,operating_company,https://aestheticsbiomedical.com/,https://aestheticsbiomedical.com/wp-content/uploads/2024/12/cropped-favicon-192x192.png,assets\official_media\operating_company\baz_biomedic\logo\logo_candidate_f4a7fb64e3.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Be Aes Labs,be-aes-labs,ok,./assets/company_logos/be-aes-labs.png,web\assets\company_logos\be-aes-labs.png,asset_3dca4fcc7141,operating_company_logo_img,operating_company,https://www.fibroblastusa.com/,https://www.fibroblastusa.com/cdn/shop/files/fibroblast_logo_plateado_Mesa_de_trabajo_1_copia.png?v=1763578688&width=230,assets\official_media\operating_company\be_aes_labs\logo\logo_candidate_0bf4285cbe.png,.png,230,36,alpha_preserved,candidate_hidden,source_does_not_match_company_identity,,2026-05-23T01:25:45
Beamed,beamed,ok,./assets/company_logos/beamed.png,web\assets\company_logos\beamed.png,asset_937314bb9397,favicon_or_touch_icon,operating_company,https://beamedtrading.com/,https://i0.wp.com/beamedtrading.com/wp-content/uploads/2019/11/cropped-logo-png-tr.png?fit=192%2C192&ssl=1,assets\official_media\operating_company\beamed\logo\logo_candidate_9a7282b147.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_c81fa0aa4bdc:unsupported_extension:.svg; asset_8ccc4592efd8:unsupported_extension:.svg,2026-05-23T01:25:45
Beauty Health,beauty-health,ok,./assets/company_logos/beauty-health.png,web\assets\company_logos\beauty-health.png,asset_ecaf12b1b69f,favicon_or_touch_icon,operating_company,https://ovikhealth.com/,https://ovikhealth.com/wp-content/uploads/2023/08/android-chrome-512x512-2-300x300.png,assets\official_media\operating_company\beauty_health\logo\logo_candidate_31d9e8c29b.png,.png,300,300,opaque_source,trusted_display,company_identity_match,,2026-05-23T01:25:45
BeautyBio,beautybio,ok,./assets/company_logos/beautybio.png,web\assets\company_logos\beautybio.png,asset_adbc9c34c5b8,favicon_or_touch_icon,operating_company,https://beautybio.gorgias.help/,https://attachments.gorgias.help/uploads.gorgias.io/8X1Bk7d9QEMxKgRm/BeautyBio_Mark_favicon-7f1f1471-a01a-4b03-8f94-840dbda1d768.png,assets\official_media\operating_company\beautybio\logo\logo_candidate_7c1cd80fe3.png,.png,200,200,alpha_preserved,trusted_display,company_identity_match,asset_b99d5677ae47:unsupported_extension:.svg; asset_b8048434e9b0:unsupported_extension:.svg,2026-05-23T01:25:45
Benev,benev,ok,./assets/company_logos/benev.png,web\assets\company_logos\benev.png,asset_53014ddf4377,operating_company_logo_img,operating_company,https://shop.benev.com/,https://cdn11.bigcommerce.com/s-zphc1kjp09/images/stencil/250x91/no_tagline_horizontal-benev-logo-blk_1679085776__39163.original.png,assets\official_media\operating_company\benev\logo\logo_candidate_f494d52ed3.webp,.webp,250,57,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
BenQ,benq,ok,./assets/company_logos/benq.png,web\assets\company_logos\benq.png,asset_18d348ab6d96,operating_company_logo_img,operating_company,https://www.benq.eu/,https://www.benq.eu/etc/designs/g6/clientlib-site/img/header-icon/nav-icon-benq-logo.png,assets\official_media\operating_company\benq\logo\logo_candidate_958bbe72b2.png,.png,512,352,alpha_preserved,trusted_display,company_identity_match,asset_8d872abc1db6:unsupported_extension:.svg; asset_add75377942e:unsupported_extension:.svg,2026-05-23T01:25:45
Bio-Therapeutic,bio-therapeutic,ok,./assets/company_logos/bio-therapeutic.png,web\assets\company_logos\bio-therapeutic.png,asset_1180aea4ebf7,favicon_or_touch_icon,operating_company,https://bio-therapeutic.online/,https://bio-therapeutic.online/wp-content/uploads/2017/03/cropped-BTI-300x300.jpg,assets\official_media\operating_company\bio_therapeutic\logo\logo_candidate_2e7775137a.jpg,.jpg,300,300,light_background_removed,trusted_display,company_identity_match,,2026-05-23T01:25:45
Biocyte,biocyte,ok,./assets/company_logos/biocyte.png,web\assets\company_logos\biocyte.png,asset_d47815625d4e,operating_company_logo_img,operating_company,https://biocyte.pt/,https://biocyte.pt/cdn/shop/files/Biocyte-Farmacia-Saude.png?v=1736117461&width=600,assets\official_media\operating_company\biocyte\logo\logo_candidate_733d14726b.png,.png,502,354,alpha_preserved,trusted_display,company_identity_match,asset_a9e8d1202c09:unsupported_extension:.svg; asset_9e75fb640574:unsupported_extension:.svg; asset_839aca28d413:unsupported_extension:.svg,2026-05-23T01:25:45
BioElectronics,bioelectronics,ok,./assets/company_logos/bioelectronics.png,web\assets\company_logos\bioelectronics.png,asset_10b5cb415893,favicon_or_touch_icon,operating_company,https://www.bielcorp.com/,https://www.bielcorp.com/biel/wp-content/uploads/2021/03/cropped-BioElectronics-Logo-with-tagline-192x192.jpg,assets\official_media\operating_company\bioelectronics\logo\logo_candidate_5451600b72.jpg,.jpg,192,192,light_background_removed,trusted_display,company_identity_match,,2026-05-23T01:25:45
BioFormula,bioformula,ok,./assets/company_logos/bioformula.png,web\assets\company_logos\bioformula.png,asset_5fc06ab40c60,favicon_or_touch_icon,operating_company,http://www.bioformula.it/,https://bioformula.it/wp-content/uploads/2025/05/favicon-180.png,assets\official_media\operating_company\bioformula\logo\logo_candidate_ccab5b545c.png,.png,180,180,alpha_preserved,trusted_display,company_identity_match,asset_09a0164ffc42:unsupported_extension:.svg; asset_775860ef13bd:unsupported_extension:.svg; asset_a825c588d786:unsupported_extension:.svg,2026-05-23T01:25:45
Biopark Medical,biopark-medical,ok,./assets/company_logos/biopark-medical.png,web\assets\company_logos\biopark-medical.png,asset_7e8b0e6e5393,favicon_or_touch_icon,operating_company,https://bioparkmedical.com/,https://bioparkmedical.com/android-chrome-192x192.png,assets\official_media\operating_company\biopark_medical\logo\logo_candidate_6e5e320ee7.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_4afb7f58ef4b:unsupported_extension:.svg; asset_e89fd898a45e:unsupported_extension:.svg; asset_e3c85c222839:unsupported_extension:.svg; asset_57e60dae3ec9:unsupported_extension:.svg; asset_e36f9c9e13be:unsupported_extension:.svg,2026-05-23T01:25:45
BioPlus,bioplus,ok,./assets/company_logos/bioplus.png,web\assets\company_logos\bioplus.png,asset_b799cc12c29f,operating_company_logo_img,operating_company,https://www.bioplusinfusion.com/,https://www.bioplusinfusion.com/wp-content/uploads/2022/06/whiteletter-logo.png,assets\official_media\operating_company\bioplus\logo\logo_candidate_d94771cc06.png,.png,861,154,alpha_preserved,trusted_display,company_identity_match,asset_c8090c1208d5:unsupported_extension:.svg; asset_ac23ef652c1f:unsupported_extension:.svg; asset_6ddf65cf172f:unsupported_extension:.svg; asset_42b3db1d7e43:unsupported_extension:.svg; asset_b122835b4fe1:unsupported_extension:.svg,2026-05-23T01:25:45
BioScience,bioscience,ok,./assets/company_logos/bioscience.png,web\assets\company_logos\bioscience.png,asset_f0ecad6fe486,favicon_or_touch_icon,operating_company,https://www.biosciencegmbh.com/,https://cdn.prod.website-files.com/63a16b39edec0d0cb726136e/63d661436f089ee178b1f131_Untitled%20design%20(19).png,assets\official_media\operating_company\bioscience\logo\logo_candidate_d78bb3b550.png,.png,256,256,opaque_source,trusted_display,company_identity_match,asset_c6ead213abd9:unsupported_extension:.svg; asset_635e49e6fc62:unsupported_extension:.svg,2026-05-23T01:25:45
Biotec,biotec,ok,./assets/company_logos/biotec.png,web\assets\company_logos\biotec.png,asset_bb2f3b3bb38a,favicon_or_touch_icon,operating_company,https://biotecitaliauk.co.uk/,https://biotecitaliauk.co.uk/wp-content/uploads/2022/01/cropped-favicon-1-192x192.png,assets\official_media\operating_company\biotec\logo\logo_candidate_d22103c414.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Biotekne,biotekne,ok,./assets/company_logos/biotekne.png,web\assets\company_logos\biotekne.png,asset_3ea204f1dc4d,favicon_or_touch_icon,operating_company,https://biotekne.it/,https://biotekne.it/wp-content/uploads/2025/04/Progetto-senza-titolo.png,assets\official_media\operating_company\biotekne\logo\logo_candidate_fa2aaee9e0.png,.png,500,500,light_background_removed,trusted_display,company_identity_match,,2026-05-23T01:25:45
Biovico,biovico,ok,./assets/company_logos/biovico.png,web\assets\company_logos\biovico.png,asset_efcb2bfbc53a,operating_company_logo_img,operating_company,https://biovico.com/,https://biovico.com/images/Asset-11.png,assets\official_media\operating_company\biovico\logo\logo_candidate_84c6b58b5b.png,.png,397,44,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Bioxis Pharmaceuticals,bioxis-pharmaceuticals,ok,./assets/company_logos/bioxis-pharmaceuticals.png,web\assets\company_logos\bioxis-pharmaceuticals.png,asset_16bc6546c37e,operating_company_logo_img,operating_company,https://bioxis.com/,https://bioxis.com/Local/bioxis_en/img/Region-Auvergne-Rhone-Alpes-logo.png,assets\official_media\operating_company\bioxis_pharmaceuticals\logo\logo_candidate_43e572d821.png,.png,98,33,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Bison Medical,bison-medical,ok,./assets/company_logos/bison-medical.png,web\assets\company_logos\bison-medical.png,asset_3a132cb10a24,favicon_or_touch_icon,operating_company,https://www.bisonmedical.fr/,https://www.bisonmedical.fr/wp-content/uploads/2024/05/cropped-bison-2-192x192.png,assets\official_media\operating_company\bison_medical\logo\logo_candidate_38e87a3b86.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Blue Moon,blue-moon,ok,./assets/company_logos/blue-moon.png,web\assets\company_logos\blue-moon.png,asset_9282d1cbcb1f,favicon_or_touch_icon,operating_company,https://blueneem.com/,https://blueneem.com/wp-content/themes/blueneem/assets/img/blueneem_favicon.png,assets\official_media\operating_company\blue_moon\logo\logo_candidate_fe99182adf.png,.png,512,512,alpha_preserved,trusted_display,company_identity_match,asset_097a0ffbb3c6:unsupported_extension:.svg,2026-05-23T01:25:45
