source_id,phase,source_name,source_family,source_url,access_model,authority_tier,kpi_families,geo_grain,time_grain,segment_grain,fields_available,extraction_method,target_dataset,refresh_cadence,implementation_status,priority,notes
open_dart_korea,2,OPEN DART Korea Corporate Filings,official_filing_api,https://engopendart.fss.or.kr/,api_key_required,official_regulator,"company_revenue;growth;operating_profit;net_income;segment_revenue","company",fiscal_year,"company_total;segment_when_filed","annual reports;quarterly reports;financial statements;XBRL/Excel/TXT where available",api_and_filing_table_extraction,company_financial_metrics,annual_quarterly,planned,2,"Priority for Hugel, Medytox, Daewoong, Classys, PharmaResearch, Vaim-related public comps and Korean EBD/injectables suppliers."
edinet_japan,2,EDINET Japan Corporate Disclosure,official_filing_api,https://disclosure2.edinet-fsa.go.jp/week0020.aspx,api_key_required,official_regulator,"company_revenue;growth;segment_revenue;operating_profit","company",fiscal_year,"company_total;segment_when_filed","securities reports;quarterly reports;XBRL;CSV/PDF documents",api_and_xbrl_extraction,company_financial_metrics,annual_quarterly,planned,3,"Use for Japanese listed companies in the aesthetics supply chain. EDINET API requires registration/API key."
company_ir_reports,2,Company IR Reports and Earnings Materials,company_primary_disclosure,company_websites_and_ir_libraries,public_pdf_html,company_primary,"aesthetic_revenue;regional_revenue;product_line_revenue;management_guidance","company;region",quarter_or_fiscal_year,"company_segment;region;product_line","segment revenue;regional revenue;product-line revenue;guidance;commentary",pdf_html_table_extraction_with_manual_mapping,company_aesthetic_revenue_segments,quarterly_annual,planned,1,"Most important source for true commercial revenue split. Use to avoid over-reading total corporate revenue as aesthetics revenue."
provider_locator_pages,3,Brand Provider Locator Pages,company_commercial_web,brand_provider_locator_pages,public_html,company_primary,"channel_density;provider_count;city_coverage;brand_coverage","country;city;provider",snapshot_date,"brand;device;injectable_line","provider names where allowed;city;state;country;brand/product line;locator count",polite_locator_crawl_or_manual_export,commercial_channel_coverage,quarterly_snapshot,planned,1,"Proxy for commercial channel coverage. Store only business location metadata needed for density; avoid personal contact details unless explicitly sourced and necessary."
enrichment_provider_panel,3,Data Enrichment Providers,third_party_enrichment,"ZoomInfo;Clay;Apollo;HG Insights",connector_or_export,third_party_enrichment,"clinic_density;distributor_density;account_firmographics;technographics","country;city;company",snapshot_date,"clinic;distributor;chain;manufacturer","company name;domain;industry;employee band;location;technology/vendor signals",connector_export_review,commercial_channel_coverage,monthly_or_project_batch,planned,2,"Use for scalable provider/distributor discovery once source access is available. Treat as enrichment, not system of record."
cms_open_payments,3,CMS Open Payments,official_government_payments,https://openpaymentsdata.cms.gov/about/api,public_api,official_government,"us_physician_touchpoints;payment_amount;company_doctor_network","USA;US_state;physician",year,"company;product_or_device_name;specialty","general payments;research payments;ownership interests;physician profiles;reporting entity",api_or_bulk_csv,commercial_channel_coverage,annual,planned,3,"US-only proxy for company-to-physician engagement and KOL density. Useful for Allergan/Galderma/Merz/EBD device companies where reporting entity names can be mapped."
taiwan_mohw_aesthetic_medicine_institutions,3,Taiwan MOHW Aesthetic Medicine Institutions,official_government_provider_statistics,https://dep.mohw.gov.tw/DOMA/lp-3240-106.html,public_html_pdf,official_government,"provider_density;approved_institution_count;city_coverage","Taiwan;city",snapshot_date,"approved aesthetic surgery/procedure institution","approved institutions for specific aesthetic medicine surgery/procedures;quality certification links",pdf_table_extraction_or_locator_query,commercial_channel_coverage,semiannual_snapshot,source_pdf_acquired,4,"Official provider/channel proxy. Use for density and coverage, not procedure volume."
taiwan_mohw_medical_facility_open_data,3,Taiwan MOHW Medical Institution Open Data,official_government_open_data,https://dep.mohw.gov.tw/DOMA/np-4926-106.html,public_html_ods,official_government,"provider_denominator;medical_facility_count;personnel_count","Taiwan;city",snapshot_date,"facility;personnel","medical institution and personnel master data;ODS download discovered",ods_table_extraction,commercial_channel_coverage,annual_snapshot,source_ods_acquired,5,"Denominator layer for Taiwan provider density and enrichment joins."
hong_kong_dh_day_procedure_centres,3,Hong Kong Licensed Day Procedure Centres,official_government_open_data,https://data.gov.hk/en-data/dataset/hk-dh-dh_hq-dh-orphf-dpcl,public_ckan_csv,official_government,"provider_density;licensed_facility_count","Hong Kong",snapshot_date,facility,"licensed day procedure centre CSV resources from DATA.GOV.HK",ckan_csv_extraction,commercial_channel_coverage,monthly_or_dataset_refresh,csv_acquired,4,"Strong Hong Kong channel/provider proxy under the Private Healthcare Facilities Ordinance. Not procedure volume."
hong_kong_dh_medical_beauty_guidance,3,Hong Kong Department of Health Medical Beauty Guidance,official_government_guidance,https://www.dh.gov.hk/english/useful/useful_medical_beauty/useful_medical_beauty.html,public_html_pdf,official_government,"regulatory_context;scope_definition","Hong Kong",snapshot_date,"procedure_boundary;service_type","medical procedure versus beauty service guidance;working group report;consumer guidance PDFs",document_index_and_scope_extraction,commercial_channel_coverage,annual_review,source_pdfs_acquired,7,"Regulatory/scope context only. Useful to classify Hong Kong medical-beauty channels and avoid overclaiming procedure volume."
brazil_sbcp_surgeon_locator,3,SBCP Surgeon Locator,professional_association_provider_locator,https://www.cirurgiaplastica.org.br/encontre-um-cirurgiao/,public_html_form,official_association,"surgeon_density;state_coverage","Brazil;state;city",snapshot_date,"surgeon;association_member","association surgeon locator and procedure pages",locator_form_endpoint_mapping,commercial_channel_coverage,quarterly_snapshot,source_page_discovered,6,"Official association provider-density proxy. Need form/endpoint mapping before scalable extraction."
brazil_cfm_medical_demography,3,Brazil CFM Medical Demography,official_professional_registry_statistics,https://portal.cfm.org.br/,public_html_powerbi,official_professional_council,"surgeon_denominator;physician_density;specialty_count","Brazil;state",year,"specialty;physician","medical demography links for 2020/2023/2024; specialty and regional physician denominators",html_powerbi_or_report_extraction,commercial_channel_coverage,annual,source_pages_discovered,5,"Strong denominator for Brazil surgeon/provider density. Use with SBCP locator and ISAPS Brazil treatment totals."
japan_mhlw_aesthetic_medicine_status,3,MHLW Aesthetic Medicine Status Materials,official_government_statistics,https://www.mhlw.go.jp/content/10803000/001363278.pdf,public_pdf,official_government,"physician_specialty_count;provider_density;regulatory_context",Japan,year,"specialty;clinic_physician","clinic physician counts by cosmetic surgery;plastic surgery;dermatology;regulatory scope context",pdf_table_extraction_with_metric_qa,commercial_channel_coverage,annual_or_irregular,source_pdf_acquired,8,"Use as physician and specialty-demand proxy. Not treatment volume."
japan_mhlw_medical_info_net,3,MHLW Medical Information Net Provider Search,official_government_provider_locator,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2340/initialize,public_html_form,official_government,"provider_density;medical_institution_count;specialty_filter",Japan,snapshot_date,"facility;specialty;location","national medical institution search with plastic surgery and cosmetic surgery specialty filters",locator_form_endpoint_mapping,commercial_channel_coverage,quarterly_snapshot,source_page_discovered,9,"Official provider locator. Follow-up should aggregate facility counts by geography and avoid unnecessary personal contact fields."
france_cnom_medical_demography_atlas,3,CNOM Medical Demography Atlas,official_professional_registry_statistics,https://www.conseil-national.medecin.fr/sites/default/files/cnom_atlas_demographie_2025_tome_1.pdf,public_pdf,official_professional_council,"surgeon_denominator;physician_density;regional_medical_capacity","France;region;department",year,"specialty_group;physician","physician and surgical-specialty demography by region and department",pdf_table_extraction_with_metric_qa,commercial_channel_coverage,annual,source_pdf_acquired,10,"Strong France denominator source. Use for surgical-specialty and physician-density context rather than procedure volume."
france_sofcep_surgery_context,3,SOFCEP Plastic and Aesthetic Surgery in France,official_association_context,https://sofcep.fr/en/surgery/,public_html,official_association,"surgeon_density_context;association_context","France",snapshot_date,"surgeon;association_context","qualified surgeon count statement and association context for plastic and aesthetic surgery in France",html_claim_extraction_with_cnom_crosscheck,commercial_channel_coverage,annual_review,source_page_discovered,11,"Useful France association context. Cross-check numeric surgeon count against CNOM before using as a denominator."
switzerland_fmh_physician_statistics,3,FMH Physician Statistics Interactive Dashboard,official_professional_registry_statistics,https://aerztestatistik.fmh.ch/,public_html,official_professional_association,"surgeon_denominator;physician_density;specialty_count",Switzerland,year,"specialty;gender","physicians by main specialty and gender;plastic surgery denominator",interactive_table_or_endpoint_mapping,commercial_channel_coverage,annual,source_page_confirmed,12,"Strong Switzerland denominator source. Use for plastic-surgery physician counts, not aesthetic procedure volume."
switzerland_plastic_surgery_society,3,Swiss Society for Plastic Reconstructive and Aesthetic Surgery,official_association_context,https://plasticsurgery.ch/en/,public_html,official_association,"association_context;provider_discovery;quality_context",Switzerland,snapshot_date,"society;member;quality","national society context and provider-discovery links",html_claim_extraction,commercial_channel_coverage,annual_review,source_page_discovered,13,"Swiss association context and provider-discovery path. Not treatment volume."
czech_nrpzs_provider_registry,3,Czech NRPZS Healthcare Provider Registry,official_government_provider_registry,https://nrpzs.uzis.cz/,public_html,official_government,"provider_density;specialty_provider_count;city_coverage","Czech Republic",snapshot_date,"facility;specialty;location","provider registry with care profile and specialty fields including plastic surgery",locator_query_or_html_extraction,commercial_channel_coverage,quarterly_snapshot,source_page_discovered,14,"Official Czech provider-density proxy. Follow-up should aggregate provider records by plastic-surgery specialty and geography."
czech_cspch_society_context,3,Czech Society of Plastic Surgery,official_association_context,https://esaps.eu/society/12,public_html,official_association,"association_context;provider_discovery","Czech Republic",snapshot_date,"society;official_website","national society reference and official website path via EASAPS/ESAPS",html_claim_extraction,commercial_channel_coverage,annual_review,source_page_discovered,15,"Association context and national-society discovery path. Not treatment volume."
canada_cihi_physician_specialty,3,CIHI Physicians per 100000 Population by Specialty,official_health_workforce_statistics,https://www.cihi.ca/en/indicators/physicians-per-100000-population-by-specialty,public_html_data,official_health_data_agency,"surgeon_denominator;physician_density;specialty_count","Canada;province",year,"specialty;province","physician density by specialty and year",html_or_data_table_extraction,commercial_channel_coverage,annual,source_page_discovered,16,"Official Canada health-workforce denominator. Use for physician/specialty density, not procedure volume."
canada_csps_society_context,3,Canadian Society of Plastic Surgeons,official_association_context,https://plasticsurgery.ca/,public_html,official_association,"association_context;surgeon_count_context",Canada,snapshot_date,"society;member","national plastic-surgery society context and member-scale statement",html_claim_extraction,commercial_channel_coverage,annual_review,source_page_discovered,17,"Canadian association context. Current source is not a treatment-volume table."
canada_csaps_surgeon_locator,3,Canadian Society for Aesthetic Plastic Surgery Surgeon Locator,official_association_provider_locator,https://csaps.ca/general-information/find-a-csaps-surgeon/,public_html,official_association,"surgeon_density;provider_locator;province_coverage","Canada;province;city",snapshot_date,"surgeon;province;city","aesthetic plastic surgeon locator by Canadian area or province",locator_endpoint_mapping,commercial_channel_coverage,quarterly_snapshot,source_page_discovered,18,"Aesthetic-surgeon locator proxy. Store aggregate geography counts only."
poland_nil_physician_statistics,3,NIL Central Register of Physicians Statistics,official_professional_registry_statistics,https://nil.org.pl/rejestry/centralny-rejestr-lekarzy/informacje-statystyczne,public_html_xls_pdf,official_professional_council,"surgeon_denominator;physician_density;specialty_count",Poland,year,"specialty;medical_chamber","physician register statistical tables and specialty denominators",html_download_table_extraction,commercial_channel_coverage,annual,source_page_discovered,19,"Official Polish physician-register statistics. Use for specialist denominator, not procedure volume."
poland_ptchprie_surgeon_locator,3,Polish Society of Plastic Reconstructive and Aesthetic Surgery Locator,official_association_provider_locator,https://www.ptchprie.pl/znajdz_lekarza.html,public_html,official_association,"surgeon_density;hospital_department_count;association_context","Poland;city",snapshot_date,"surgeon;hospital_department;city","plastic surgeon finder and hospital-department list",html_locator_extraction,commercial_channel_coverage,quarterly_snapshot,source_page_discovered,20,"Official association locator/channel proxy. Use aggregate counts only."
sweden_socialstyrelsen_hosp_register,3,Socialstyrelsen HOSP Authorised Healthcare Professionals Register,official_government_professional_registry,https://www.socialstyrelsen.se/en/statistics-and-data/registers/the-register-of-authorised-healthcare-professionals-hosp/,public_html,official_government,"surgeon_denominator;professional_register_context",Sweden,year,"profession;specialist","authorised healthcare professionals and specialist-register context",registry_endpoint_mapping,commercial_channel_coverage,annual,source_page_discovered,21,"Official Sweden professional-register context. Use for denominator mapping if specialty extracts are available."
sweden_spkf_society_context,3,Swedish Association of Plastic Surgeons,official_association_context,https://slf.se/spkf/,public_html,official_association,"association_context;specialist_context",Sweden,snapshot_date,"society;specialist","Swedish plastic-surgery society context for specialists training and quality",html_claim_extraction,commercial_channel_coverage,annual_review,source_page_discovered,22,"National society context only unless statistics are exposed."
sweden_sfep_surgeon_locator,3,Swedish Society for Aesthetic Plastic Surgery Surgeon Locator,official_association_provider_locator,https://sfep.se/,public_html,official_association,"surgeon_density;provider_locator;association_context",Sweden,snapshot_date,"surgeon;city;association","aesthetic plastic surgeon locator and association member context",locator_endpoint_mapping,commercial_channel_coverage,quarterly_snapshot,source_page_discovered,23,"Aesthetic-surgeon locator proxy. Store aggregate geography counts only."
world_bank_wdi,4,World Bank World Development Indicators,official_macro_api,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392-about-the-indicators-api-documentation,public_api,official_macro,"macro_demand;income;population;urbanization;ageing","country",year,macro_indicator,"GDP per capita;population;urban population;age cohorts;health expenditure where available",api_indicator_pull,commercial_macro_demand,annual,planned,1,"Macro demand denominator layer. Use as explanatory variables, not direct market size."
oecd_health_statistics,4,OECD Health Statistics / Data Explorer,official_macro_api,https://www.oecd.org/en/data/insights/data-explainers/2024/09/api.html,public_api,official_macro,"healthcare_capacity;physician_density;health_spending","country",year,health_indicator,"physicians;health spending;healthcare resources;OECD comparable health metrics",api_indicator_pull,commercial_macro_demand,annual,planned,2,"Use for OECD country healthcare capacity and physician-density context. Coverage is not global."
korea_mohw_foreign_patient_stats,4,Korea MOHW Foreign Patient Statistics,official_government_statistics,https://www.mohw.go.kr/board.es?act=view&bid=0027&list_no=1490280&mid=a10503010100&nPage=1&tag=,public_html_pdf_hwpx,official_government,"medical_tourism;specialty_demand_proxy;cross_border_demand","South Korea",year,"specialty;origin_country","foreign patient attraction statistics;specialty mix including dermatology/plastic surgery where disclosed",pdf_or_hwpx_table_extraction,commercial_macro_demand,annual,source_pdf_acquired,3,"Good Korea demand proxy, not domestic procedure volume. Keep separate from ISAPS Korea totals."
korea_khiss_health_industry_stats,4,Korea KHISS Health Industry Statistics Portal,official_government_statistics_portal,https://www.khiss.go.kr/,public_html_or_api_candidate,official_government,"health_industry;medical_tourism;specialty_demand_proxy","South Korea",year_or_table,"indicator;specialty","health industry statistical tables and possible medical-tourism endpoints",portal_endpoint_mapping,commercial_macro_demand,annual,source_page_discovered,4,"Follow-up endpoint for Korea structured tables after mapping public KHISS/KHIDI URLs."
un_comtrade,4,UN Comtrade,official_trade_api,https://comtrade.un.org/,api_key_for_full_access,official_trade,"trade_proxy;device_import_proxy;consumable_import_proxy","country;partner_country",year_or_month,"HS_code;flow","trade value;quantity;gross weight;import/export flow;HS classification",api_trade_pull_with_hs_code_review,commercial_trade_proxy,annual_monthly,planned,4,"Proxy only. HS codes are broader than medical aesthetics; every indicator must carry proxy caveat."
google_trends_social_search,4,Google Trends and Social Search Heat,public_interest_proxy,https://trends.google.com/trends/,manual_export_or_api_proxy,public_interest_proxy,"consumer_interest;brand_search_heat;procedure_search_heat","country;subregion",week_or_month,"procedure;brand;category","search interest index;relative trend;query terms",manual_export_or_pytrends_with_review,commercial_interest_proxy,monthly,planned,5,"Demand heat proxy only. Use normalized indices and keep separate from confirmed treatment volume or revenue."
hong_kong_consumer_medical_beauty_complaints,4,Hong Kong Consumer Council Medical Beauty Release,statutory_consumer_research,https://www.consumer.org.hk/en/press-release/medical-beauty,public_html,public_statutory_consumer_body,"complaints;consumer_risk;regulatory_heat","Hong Kong",snapshot_date,"complaint_type;service_type","consumer complaints and regulatory support signals for medical beauty",document_claim_extraction,commercial_interest_proxy,annual_review,source_page_discovered,6,"Consumer/risk heat proxy only. Do not use as treatment volume, revenue, or market size."
israel_plastic_surgery_society_news,4,Israel Society of Plastic and Aesthetic Surgery News and Locator,official_association_news_locator,https://www.plasticsurgery.org.il/,public_html,official_association,"survey_heat;provider_locator;procedure_interest",Israel,snapshot_or_publication_date,"specialist;news_topic;treatment_type","association survey/news signals and specialist locator links",html_claim_and_locator_mapping,commercial_interest_proxy,annual_review,source_page_discovered,7,"Current evidence is association news and locator context. Use as interest or channel proxy until official procedure tables are found."
israel_ima_society_context,4,IMAJ Plastic Surgery in Israel Issue Context,official_medical_association_journal,https://www.ima.org.il/medicineIMAJ/Article.aspx?aId=6650,public_html_pdf,official_medical_association,"association_context;specialty_context",Israel,publication_year,"specialty;association","IMAJ article context and society references for Israeli plastic and aesthetic surgery",html_pdf_context_extraction,commercial_interest_proxy,annual_review,source_pdfs_acquired_context_only,8,"Context source only. Useful for Israel source discovery and specialty grounding but not treatment volume."
market_report_archive,4,Industry Market Reports Archive,third_party_market_estimates,local_and_public_report_archive,mixed_public_and_local,third_party_estimate,"market_size;forecast_cagr;market_share;category_forecast","global;region;country",report_year_or_forecast_year,"market_category;segment","market size;CAGR;share;forecast;source-stated definitions",document_index_and_claim_extraction,commercial_claims,monthly_index,live_but_secondary,6,"Keep as secondary evidence. Use after treatment volume, company revenue, channel density and macro demand have established the backbone."
