seed_record_id,product_id,company,brand,standard_product_name,score,source_url,indication
REC_0496,prod_ef8f33b6e109,Euroresearch,Nithya Peel,Chemical Peel,101,https://www.nithya.it/en/questions/,"Indicated for correction of blemishes related to ageing; Helps to maintain elasticity of the skin by reducing dryness and lipid peroxidation; At the discretion of a doctor, nithya may be used on the face, décolleté, neck, hands, arms and body."
REC_0505,prod_5d4db3b9cc73,Promoitalia,Nucleofill,Nucleofill / Pink Intimate,101,https://www.nucleofill.fr/en/nucleofill-strong/,"Indications; Nucleofill is indicated for all skin types, regardless of their maturity: * Wrinkles & furrows * Skin aging * Skin exposed to oxidative stress (pollution, sun, tobacco, lifestyle) * Dehydrated skin * Before injections, to prolong their aesthetic effects * Stretch marks * Scars## Composition."
REC_0585,prod_b0d4ee4e961a,El.En.,Quanta System,Thunder MT,101,https://www.quantasystem.com/us/laser/discovery-pico-derm/,Indicated for: Square flat-top: tattoo removal Round flat-top: benign pigmented lesions Fractional handpiece: acne scars and wrinkles.; ## Multi-level picosecond effect.
REC_0742,prod_ae74838d341f,TransLite,Veinlite,Veinlite LED+ / EMS,101,https://www.veinlite.com/dfu/led-plus/index.html,"Is intended for use only by clinicians trained in performing vascular access, or under the supervision of a clinician.; ## BATTERY INSTRUCTIONS."
REC_0762,prod_1d2fa62967bc,GPQ Srl,WiQo,PRX-T33 / WiQo Cream,101,https://www.med.wiqo.com/en/15890/prx-t33,"Is indicated for both sexes, for all ages and all seasons as a beautifier of the skin offaceandbodybut also for the treatment ofscars,stretch marksand for the prevention of dermal ageing."
REC_0891,prod_edc4e0d05136,IBSA Derma,Aliaxin GP,HA Filler Global Performance,101,https://www.fillermarket.com/en/filler/11525-ibsa-aliaxin-gp-global-performance.html,Indicated for correction of medium and deep skin damage and to increase the volume and contour of the lips.; The main component is the non-animal reticulated hyaluronic acid produced by biofermentation.
TOPLINE_SINCLAIR_LANLUMA_20260530,prod_ab483f36c201,Sinclair Pharma,Lanluma,PLLA Collagen Stimulating Injectable Filler,101,https://ellanse.com/physicians/,"INDICATION:; The EU approved intended use is: Ellansé (a Poly-ɛ-caprolactone-based dermal filler) is an injectable implant, indicated for subdermal implantation in the face for the lasting correction of wrinkles and facial aging signs or conditions."
TOPLINE_SINCLAIR_PERFECTHA_20260530,prod_357be20483fc,Sinclair Pharma,Perfectha,HA Dermal Filler Line,101,https://ellanse.com/physicians/,"INDICATION:; The EU approved intended use is: Ellansé (a Poly-ɛ-caprolactone-based dermal filler) is an injectable implant, indicated for subdermal implantation in the face for the lasting correction of wrinkles and facial aging signs or conditions."
REC_0226,prod_aa6a7f782121,BTL,Emface,Facial Muscle Lifting,97,https://daltonmedical.nl/wp-content/uploads/2024/11/Emface_LF_One-sheeter_FA_EN102_preview.pdf,Is intended for aesthetic procedures such as facial rejuvenation and contouring by wrinkles reduction; and skin laxity improvement by means of toning and lifting of muscles and skin.
REC_0228,prod_80c86c09615a,BTL,Emsculpt NEO,Body Contouring (Muscle),97,https://rtaesthetics.co.uk/wp-content/uploads/2023/07/Emsculpt_Neo_CLIN_Mechanism-of-action-paper_EN101_preview.pdf,"Is intended for the treatment of obesity by fat reduction through neuromuscular; stimulation, radiofrequency-induced lipolysis and increase of blood flow."
REC_0868,prod_a816d8a3af2e,BTL,EMFACE Submentum,RF + HIFES for Submental,97,https://daltonmedical.nl/wp-content/uploads/2024/11/Emface_LF_One-sheeter_FA_EN102_preview.pdf,Is intended for aesthetic procedures such as facial rejuvenation and contouring by wrinkles reduction; and skin laxity improvement by means of toning and lifting of muscles and skin.
REC_0071,prod_efeb75b92560,Benev,Benev GF Series (GF-DNA),Growth Factors,95,https://www.benev.com/sylfirmx,Is intended for use in dermatology and general surgical procedures for electrocoagulation and hemostasis.; (K213612).
REC_0118,prod_3e5c00e4f53c,Sinclair Pharma,Cocoon Medical,Cooltech Define,95,https://sinclair.com/brands/energy-devices/cooltech-define/,"Is intended for the treatment of localized adipose accumulations in patients with BMI greater than or equal to 30.; This treatment using Cooltech® Define is performed through the reduction of adipose tissue by controlled cooling, and could trigger beneficial cardiovascular effects."
REC_0168,prod_13519dcddbb3,Mesoestetic Pharma,Dermamelan,Dermamelan Intimate,95,https://www.mesoestetic.co.za/professional/dermamelan-intimate-pack.html,"Indicated for the external intimate area, inner thighs and groin.; Unique for its dual corrective and regulatory action, it reduces the pigmentary imperfections in the short and long term, and improves the quality, elasticity and appearance of the intimate area."
REC_0184,prod_4f6bf13d9953,Body Health,Dermo Health (Vacuum),Vacuum Therapy,95,https://bodyhealth.com.ar/en/refreeze-en/,"Indicated for addressing generalized adiposity, cellulite, and flaccidity, this therapy simultaneously performs lymphatic drainage.; It aids in the elimination of wastes, toxins, and fluid overload, achieving immediate and long-lasting effects."
REC_0185,prod_f313aab02c2e,Dermoaroma,Dermo Peel,Chemical Peel,95,https://dermoaroma.com/products/volomis-medium/,"Indicated for the correction of deep face wrinkles or folds and correction of nose imperfections.; The injected areas are glabellar area, nasolabial fold, nose, marionette lines, correction of lips."
REC_0186,prod_a08ab337e76d,Dermoaroma,Dermoaroma PDRN,Mesotherapy,95,https://dermoaroma.com/products/volomis-medium/,"Indicated for the correction of deep face wrinkles or folds and correction of nose imperfections.; The injected areas are glabellar area, nasolabial fold, nose, marionette lines, correction of lips."
REC_0253,prod_87b4be6aaf38,InMode,Evoke,Evoke Face / Chin,95,https://inmodemd.in/workstation/optimasmax/,Intended for dermatological applications that require contraction/coagulation of soft tissue or hemostas.
REC_0255,prod_e6660a11bb09,Evolus,Evolysse,Evolysse Lift / Smooth,95,https://evolysse.evolus.com/evolysse-difference,Are intended for dynamic wrinkles and folds such as NLFs.; The safety and effectiveness for other treatment areas have not been established.
REC_0280,prod_ced9c2685e0e,Fotona d.o.o.,Fotona,SP Dynamis (4D Pro),95,https://www.fotona.com/en/products/2029/xs-dynamis/,"Indicated for treatment of keratoses, with a clinical and histological improvement of up to 93% after just a single treatment.; Fotona’s Er:YAG laser wavelength is also highly useful for the treatment of lesions of the uterine neck and vagina, as well as HPV lesions, pigmentations and neoplasias."
REC_0281,prod_a3dbf7c2947a,Fotona d.o.o.,Fotona,StarWalker MaQX,95,https://www.fotona.com/en/products/2029/xs-dynamis/,"Indicated for treatment of keratoses, with a clinical and histological improvement of up to 93% after just a single treatment.; Fotona’s Er:YAG laser wavelength is also highly useful for the treatment of lesions of the uterine neck and vagina, as well as HPV lesions, pigmentations and neoplasias."
REC_0288,prod_701e3c958a7a,Fusion Meso,Fusion,F-XFC / F-Hair,95,https://fusionmeso.com/product-category/professional-treatments/,"Indicated for the treatment of patients with signs of hyperpigmentation, skin dehydration, couperose, and so-called ACURHYAL Glow Indicated for the treatment of patients with signs of hyperpigmentation, skin dehydration, couperose, and so-called View More ACURHYAL Lift High-dose amino acid therapy with Acurhyal (15,2 kDa) for intensive regeneration with choline for fibroblast ACURHYAL Lift High-dose amino acid therapy with Acurhyal (15,2 kDa) for intensive regeneration with choline for fibroblast View More ACURHYAL Stim High-dose amino acid therapy with Acurhyal (15,2Kda) for intensive regeneration.Facial lift."
REC_0361,prod_954fd28ff315,Jeisys Medical,Jeisys,Density,95,https://www.jeisys-us.com/edgeone,"Is indicated for incision, excision, ablation, vaporization and coagulation of body soft tissues in medical specialties.; The use with the scanning unit is indicated for ablative skin resurfacing."
REC_0418,prod_98e1ab884d55,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,95,https://www.cynosure.com/product/clarity-ii/,"Intended for distribution in US only.; The Clarity II aesthetic workstation is indicated for the following: Coagulation and hemostasis of soft tissue and vascular lesions, port wine stains, hemangioma, warts, telangiectasia, rosacea, venus lake, leg veins, spider veins, treatment of benign pigmented lesions, lentigos (age spots), solar lentigos (sunspots), café-au-lait macules, seborrheic keratosis, nevi, chloasma, verrucae, skin tags, keratoses, wrinkles, vascular lesions."
REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,95,https://www.cynosure.com/product/clarity-ii/,"Intended for distribution in US only.; The Clarity II aesthetic workstation is indicated for the following: Coagulation and hemostasis of soft tissue and vascular lesions, port wine stains, hemangioma, warts, telangiectasia, rosacea, venus lake, leg veins, spider veins, treatment of benign pigmented lesions, lentigos (age spots), solar lentigos (sunspots), café-au-lait macules, seborrheic keratosis, nevi, chloasma, verrucae, skin tags, keratoses, wrinkles, vascular lesions."
REC_0420,prod_89333a6ecb2d,Lutronic / Cynosure Lutronic,Lutronic,Hollywood Spectra,95,https://www.cynosure.com/product/clarity-ii/,"Intended for distribution in US only.; The Clarity II aesthetic workstation is indicated for the following: Coagulation and hemostasis of soft tissue and vascular lesions, port wine stains, hemangioma, warts, telangiectasia, rosacea, venus lake, leg veins, spider veins, treatment of benign pigmented lesions, lentigos (age spots), solar lentigos (sunspots), café-au-lait macules, seborrheic keratosis, nevi, chloasma, verrucae, skin tags, keratoses, wrinkles, vascular lesions."
REC_0442,prod_9b8c9f474eb6,Mesoestetic Pharma,Mesohyal,Mesohyal (NCTC 109),95,https://www.mesoestetic-me.com/en/professional/mesohyal-nctc109.html,"Indication; Biorevitalization intensive treatment, indicated for the correction of fine wrinkles, dull skin and anti-aging and toning of skin tissue."
REC_0457,prod_0924b252ed12,Dermaceutic,Milk Peel (奶滑酸),Chemical Peel,95,https://www.dermaceutic.com/en/products/cosmp-peel-12,"Indicated for treatment of solar lentigines, superficial pigmented lesions, and keratosis pilaris.; This product is a medical device and has to be used in-clinic only by a certified skin professional."
REC_0468,prod_38970f165cf3,DEKA,Motus AX / AY,Alexandrite Laser,95,https://technologies.dekalaser.com/es-es/product.aspx?item=MotusAY,"Is indicated for skin age and sun spots progressively heating the pigmented lesions.; Moveo SR: Focus on Skin Rejuvenation The multipass controlled action of MOVEO SR causes a progressive increase in heat at dermal level, which stimulates a neocollagenic process."
REC_0497,prod_95127b4e1783,Candela,Nordlys,IPL / Multi-platform,95,https://candelamedical.com/press-releases/candela-announces-fda-clearance-of-new-indication-for-matrix-multi-application-radiofrequency-skin-platform/,"Cleared for use in general dermatological procedures involving hemostasis and electrocoagulation.; The Matrix multi-application RF skin platform is equipped with three distinct modalities of RF energy to tighten, tone, and improve skin texture at various stages of the aging journey through its Sublime®, Sublative™, and Matrix Pro® applicators."
REC_0521,prod_958387dce784,InMode,Optimas,Lumecca / DiolazeXL / Forma / Vasculaze,95,https://inmodemd.in/workstation/optimasmax/,Intended for dermatological applications that require contraction/coagulation of soft tissue or hemostas.
REC_0566,prod_acd5efffb9e9,IBSA Derma,Profhilo,Profhilo Body,95,https://shopibsadermabaltic.com/product/profhilo/profhilo-structura/,"Is indicated for the reconstruction of facial fat tissue and thanks to its unique concentration and rheological properties, the product can support the deep structures of the face, resulting in a firming and lifting effect."
REC_0616,prod_bfa5cccbb619,InMode,RFAL Family,BodyTite / FaceTite / AccuTite / NeckTite,95,https://inmodemd.com/workstation/workstation-bodytite,Indicated for treatment of large body areas through soft tissue coagulation.; It delivers unparalleled clinical results in a single treatment.
REC_0634,prod_4acbb96379cb,Cynosure,SculpSure,Submental Fat,95,https://www.cynosure.com/product/sculpsure/,Is intended for clients with a BMI up to 30.; Patients contouring the submental area can have a BMI of up to 49.
REC_0647,prod_a8c9af4989b1,Sinclair Pharma,Sinclair,Préime DermaFacial,95,https://sinclair.com/brands/energy-devices/cooltech-define/,"Is intended for the treatment of localized adipose accumulations in patients with BMI greater than or equal to 30.; This treatment using Cooltech® Define is performed through the reduction of adipose tissue by controlled cooling, and could trigger beneficial cardiovascular effects."
REC_0770,prod_c70a978314aa,Dermaroller,XCellarisPRO Twist,Electric Microneedling,95,https://dermaroller.com/medical-microneedling/medical-indications/,"Indicated for treatment of all types of scars, especially acne scars, but also injury scars, burn scars and stretch marks.; ### Recommended needle length."
REC_0844,prod_e6af61526a83,InMode,Triton,Multi-Wavelength Hair Removal,95,https://inmodemd.in/workstation/optimasmax/,Intended for dermatological applications that require contraction/coagulation of soft tissue or hemostas.
REC_0861,prod_77489f7a14c5,Candela,Matrix,Triple-in-One RF System,95,https://marketing.candelamedical.com/ANZ-Q2-Profound-Matrix-Technical-Bulletin_LP.html,"Is indicated for general dermatological procedures for electrocoagulation and hemostasis.; Profound Matrix 510(k) Premarket Notification (K211217), Dec."
REC_0888,prod_4077ef8059fe,IBSA Derma,Profhilo Body,HA Bio-Remodeling for Body,95,https://shopibsadermabaltic.com/product/profhilo/profhilo-structura/,"Is indicated for the reconstruction of facial fat tissue and thanks to its unique concentration and rheological properties, the product can support the deep structures of the face, resulting in a firming and lifting effect."
REC_0897,prod_4a55b313638e,DEKA,Motus PRO,MOVEO Pain-Free Hair Removal,95,https://technologies.dekalaser.com/es-es/product.aspx?item=MotusAY,"Is indicated for skin age and sun spots progressively heating the pigmented lesions.; Moveo SR: Focus on Skin Rejuvenation The multipass controlled action of MOVEO SR causes a progressive increase in heat at dermal level, which stimulates a neocollagenic process."
REC_0899,prod_de4fe30d53c9,DEKA,Onda PRO,Coolwaves Microwave,95,https://technologies.dekalaser.com/es-ES/productdocuments-request.aspx?doc=3084&item=Onda_Pro,Indicated for treatment of Cellulite and Localized Adiposity: Recommendations of the “Onda Coolwaves” International Advisory Board Hoffmann M.D.; et al; Bioengineering.
REC_0919,prod_28fde9b0afc2,Venus Concept,Venus Versa Pro,Venus Versa Pro,95,https://www.venusconcept.com/en-ie/aesthetic-devices.htm,Indicated for treatment of benign pigmented epidermal and cutaneous lesions and treatment of benign cutaneous vascular lesions.; The HR650/HR650XL and HR690/HR690XL applicators have.
REC_0954,prod_c050d7c666c9,EndyMed Medical,PRO,EndyMed PRO,95,https://endymed.com/tc-applicators/,"Indicated for treatment of wrinkles and lax skin for the face, jawline and neck, including the hard to treat thin skin tissue around the eyes and mouth; # 3DEEP."
REC_0996,prod_53a408d41803,Fotona d.o.o.,Fotona,SP Dynamis Pro,95,https://www.fotona.com/en/products/2029/xs-dynamis/,"Indicated for treatment of keratoses, with a clinical and histological improvement of up to 93% after just a single treatment.; Fotona’s Er:YAG laser wavelength is also highly useful for the treatment of lesions of the uterine neck and vagina, as well as HPV lesions, pigmentations and neoplasias."
REC_1011,prod_7a2627f43512,Jeisys Medical,Jeisys,EdgeONE,95,https://www.jeisys-us.com/edgeone,"Is indicated for incision, excision, ablation, vaporization and coagulation of body soft tissues in medical specialties.; The use with the scanning unit is indicated for ablative skin resurfacing."
TOPLINE_ALLERGAN_JUVEDERM_ULTRA_XC_20260530,prod_d4b991529f99,Allergan,Juvéderm Ultra XC,HA Filler for Lip Augmentation,95,https://www.allerganaesthetics.com/brands/juvederm,"Indicated for correction of moderate to severe facial wrinkles and folds, such as nasolabial folds.; JUVÉDERM® VOLLURE® XC injectable gel is for adults over 21."
TOPLINE_ALLERGAN_JUVEDERM_VOLBELLA_20260530,prod_2ebb30c557be,Allergan,Juvéderm Volbella XC,HA Filler for Lips and Undereye,95,https://www.allerganaesthetics.com/brands/juvederm,"Indicated for correction of moderate to severe facial wrinkles and folds, such as nasolabial folds.; JUVÉDERM® VOLLURE® XC injectable gel is for adults over 21."
TOPLINE_ALLERGAN_JUVEDERM_VOLLURE_20260530,prod_006e5b2f46c8,Allergan,Juvéderm Vollure XC,HA Filler for Smile Lines,95,https://www.allerganaesthetics.com/brands/juvederm,"Indicated for correction of moderate to severe facial wrinkles and folds, such as nasolabial folds.; JUVÉDERM® VOLLURE® XC injectable gel is for adults over 21."
REC_0008,prod_c4ae0e2960a6,Arthrex,ACA-Kit (Autologous Conditioned Adipose),ACA-Kit (Autologous Conditioned Adipose),93,https://cdn.arthrex.io/image/upload/355b6c8b-7ad3-4ef1-8403-a15d9eb7f2cc.pdf,"Intended for harvesting, concentrating, and transferring resized adipose tissue.; The Restore syringe can be used alone or in conjunction with the AutoPose Access device to harvest a sample of adipose tissue."
REC_0865,prod_40519e61ef99,Candela,Glacē,Hydro-Dermabrasion + LED,93,https://marketing.candelamedical.com/rs/620-HCU-218/images/27446%20Syneron%20Candela%20APAC%20-%20UltraShape%20Power%20Product%20Brochure%20%E2%80%93PB89574EN-CH_LR.pdf,"FDA cleared for abdomen, flanks and thighs3,4 • Successful outcomes based on 3 treatments; Focused ultrasound energy is delivered only to tissue within a precise focal volume at controlled depths1 and induces unstable cavitation in fluids."
REC_0908,prod_9d299b0ce20d,Quanta System,Thunder,Dual-Wavelength High-Speed Hair Removal,93,https://chrome.quantasystem.com/wp-content/uploads/2021/09/Skin-Apps_Application-Charts.pdf,Intended Use Wavelength Mode Spot (mm) Pulse Width Rep.; Rate (Hz) Fluence (J/cm2) Passes over the lesion Zimmer skin cooler fan speed (If any).
REC_0909,prod_46b6f10e3b17,Quanta System,Suprema,Triple-Wavelength Hair Removal,93,https://chrome.quantasystem.com/wp-content/uploads/2021/09/Skin-Apps_Application-Charts.pdf,Intended Use Wavelength Mode Spot (mm) Pulse Width Rep.; Rate (Hz) Fluence (J/cm2) Passes over the lesion Zimmer skin cooler fan speed (If any).
REC_0894,prod_7969e2fffe78,IBSA Derma,Viscoderm Hydrobooster,Crosslinked HA Dynamic Areas,89,https://www.fillermarket.com/en/filler/11525-ibsa-aliaxin-gp-global-performance.html,Is indicated for the restoration of physiological volumes of the face and for the treatment of imperfections in the following areas of the face:; Acide hyaluronique réticulé 25mg/g.
REC_0024,prod_1b57ca7cffd0,Advanced Aesthetic,Algeness DF (3.5% Agarose),琼脂糖凝胶填充剂,87,https://www.prnewswire.com/news-releases/advanced-aesthetic-technologies-inc-announces-the-treatment-of-the-first-patient-in-a-pivotal-clinical-trial-in-china-with-their-algeness-vl-2-5-agarose-gel-filler-for-the-correction-of-moderate-to-severe-nasolabial-folds-301319071.html,"Indicated for correction of Moderate to Severe Nasolabial Folds; BROOKLINE, Mass., June 24, 2021 /PRNewswire/ -- Advanced Aesthetic Technologies, Inc."
REC_0025,prod_97f25cc5f1d3,Advanced Aesthetic,Algeness HD (1.5% Agarose),琼脂糖凝胶填充剂,87,https://www.prnewswire.com/news-releases/advanced-aesthetic-technologies-inc-announces-the-treatment-of-the-first-patient-in-a-pivotal-clinical-trial-in-china-with-their-algeness-vl-2-5-agarose-gel-filler-for-the-correction-of-moderate-to-severe-nasolabial-folds-301319071.html,"Indicated for correction of Moderate to Severe Nasolabial Folds; BROOKLINE, Mass., June 24, 2021 /PRNewswire/ -- Advanced Aesthetic Technologies, Inc."
REC_0026,prod_a9358fa5cc3f,Advanced Aesthetic,Algeness LD (1.0% Agarose),琼脂糖凝胶填充剂,87,https://www.prnewswire.com/news-releases/advanced-aesthetic-technologies-inc-announces-the-treatment-of-the-first-patient-in-a-pivotal-clinical-trial-in-china-with-their-algeness-vl-2-5-agarose-gel-filler-for-the-correction-of-moderate-to-severe-nasolabial-folds-301319071.html,"Indicated for correction of Moderate to Severe Nasolabial Folds; BROOKLINE, Mass., June 24, 2021 /PRNewswire/ -- Advanced Aesthetic Technologies, Inc."
REC_0038,prod_ea1ee5b1932e,Aptos,Aptos Namica,玻尿酸功能线,87,https://sanoplast.de/en/brand/aptos/,"Indicated for midface, jowl and brow lifting.; Duration of two to three years due to slow PLLA resorption and the collagen-stimulating properties of PLLA degradation products."
REC_0042,prod_85a3b6172cc7,Baz Biomedic,AquaClean / AquaClean Mini,皮肤清洁管理系统 (Aqua Peeling),87,https://www.huimainbeauty.com/article/import-regulations-aqua-peel-machine/,"Intended use (claims), mechanisms (vacuum, water jets, serums, electric stimulation), and accessories.; If the device makes medical claims (treatment of acne, scarring, medical dermatoses) or uses invasive electrodes, regulators often classify it as a medical device."
REC_0157,prod_e77b0dd7b813,Relife,Definisse,Definisse Filler,87,https://www.medicalaesthetic.it/en/product/relife-definisse-restore/,"Is intended for correction of wrinkles and deep folds, increase or restore facial volume and reshape facial contours.; The device is designed for medical purposes and is intended for reconstructive purposes in the treatment of, for example, facial lipoatrophy, debilitating scars or morphological asymmetry."
REC_0164,prod_0803c36d054e,BR Pharm,Derm S,Post-Procedure Care,87,http://www.tradekorea.com/product/detail/P786366/Revitrane---Cross-linked-Hyaluronic-Acid-Dermal-Filler.html,"Indication for Use: Indicated for the correction of facial wrinkles and folds through soft tissue augmentation.* Shelf Life: Up to 2 years from the date of manufacture.* Storage Conditions: Store at 1–30 °C, protected from light.* Manufacturer: BR Pharm Co., Ltd."
REC_0306,prod_8651924ee70e,W.L. Gore & Associates,Gore-Tex,ePTFE Implants,87,https://fda.innolitics.com/submissions/CV/subpart-d%E2%80%94cardiovascular-prosthetic-devices/DSY/K991602,"Indications for Use; The ePTFE Ringed GORE-TEX Vascular Graft is intended for use as a vascular prosthesis for replacement or bypass of diseased vessels in the patients suffering occlusive or aneursymal diseases, in trauma patients requiring vascular replacement, for dialysis access, or for other vascular procedures."
REC_0309,prod_9c9b96546070,Revitacare,HairCare,HairCare,87,https://www.hyashop.com/products/revitacare-haircare,"Is intended for use on the scalp to stimulate hair regrowth and treat androgenic alopecia and baldness.; It can be applied with a derma roller, derma pen (microneedling) or by superficial injections into the scalp."
REC_0332,prod_ff0ece9e27eb,Dongkook Pharma,Hyaron (海珠),HA Skin Booster,87,https://facepharmkorea.com/product/hyaron-prefilled-inj-2-5ml10-syr/,"Is intended for bio-revitalization of the skin experiencing the following problems: dehydration, excessive dryness, first signs of skin sagginess, wrinkles, pigmentation, linear atrophy, acne."
