spec_id,fact_id,product_id,seed_record_id,company,brand,standard_product_name,field_name,field_value,source_url,promoted_at
spec_b7c1927ae426,pfact_172db44b02a8,prod_b2c8abf17aa4,REC_0675,Alma Lasers,Soprano Titanium / Ice Platinum,半导体脱毛激光,device_energy,energy_wavelength: 810nm,https://alma-soprano.nl/,2026-06-01T01:40:35+08:00
spec_a1b2f59e138f,pfact_f18a64aa323e,prod_ba1adfad2a97,REC_0179,Alta Care,Dermastir H53EGF,头皮注射液,volume_packaging,volume_or_fill: 5ml,https://dermastir.com/products/dermastir-meso-sterile-vials-h53egf,2026-06-01T01:40:35+08:00
spec_db34c3b65928,pfact_d55d2dcf4f68,prod_c828ebcf7b79,REC_0705,Alvi Prague,TL-700 / Pico-Light,皮秒/调Q激光,device_energy,energy_wavelength: 1064 nm,https://alvi-prague.com/quasar-tl-700-picosecond-laser-2,2026-06-01T01:40:35+08:00
spec_162303d2e0dd,pfact_bece5f178bef,prod_b7b2526b8eda,REC_0060,Arkana Cosmetics,AzAc Solution,复合酸治疗,dose_strength,dose_or_unit: 20 mg,https://arkanacosmetics.com/cosmetics/azac-solution-200-ml-2/,2026-06-01T01:40:35+08:00
spec_a2aaa43bf245,pfact_4295d0b247f4,prod_b7b2526b8eda,REC_0060,Arkana Cosmetics,AzAc Solution,复合酸治疗,dose_strength,dose_or_unit: 5 mg,https://arkanacosmetics.com/cosmetics/azac-solution-200-ml-2/,2026-06-01T01:40:35+08:00
spec_1b21030dcf97,pfact_859ed1eca8bb,prod_b7b2526b8eda,REC_0060,Arkana Cosmetics,AzAc Solution,复合酸治疗,volume_packaging,volume_or_fill: 50 ml,https://www.shop-arkana.com/b2c_en/tonik-z-azeloglicyna-200-ml.html,2026-06-01T01:40:35+08:00
spec_657e10f2e6db,pfact_1dd6f0d00a62,prod_b7b2526b8eda,REC_0060,Arkana Cosmetics,AzAc Solution,复合酸治疗,volume_packaging,volume_or_fill: 75 ml,https://arkanacosmetics.com/cosmetics/azac-solution-200-ml-2/,2026-06-01T01:40:35+08:00
spec_b15029569dba,pfact_4eb04449eeb5,prod_ba776e888b9e,REC_0571,Arkana Cosmetics,PRP-like Therapy,仿生肽与微针,volume_packaging,volume_or_fill: 3399cc,https://www.shop-arkana.com/b2b_en/linie-arkana/prp-like-therapy.html,2026-06-01T01:40:35+08:00
spec_a682c6fb0f34,pfact_b598345d8d52,prod_0c46aba3dc77,REC_0049,Arthrex,Arthrex ACP (Autologous Conditioned Plasma),PRP 制备系统,commercial_certification,certification_claim: 510(k),https://www.arthrex.com/orthobiologics/autologous-conditioned-plasma,2026-06-01T01:40:35+08:00
spec_627ed60efc0d,pfact_a4a4c99e4faf,prod_29c24bf3cc1d,REC_0903,Asclepion,Dermablate,Er:YAG 2940nm Fractional,device_energy,energy_wavelength: 060nm,https://asclepion.com/en/?lang=en,2026-06-01T01:40:35+08:00
spec_1ff584570c87,pfact_e9a529227e5b,prod_29c24bf3cc1d,REC_0903,Asclepion,Dermablate,Er:YAG 2940nm Fractional,device_energy,energy_wavelength: 2.940 nm,https://asclepion.com/en/history/,2026-06-01T01:40:35+08:00
spec_440e914a782a,pfact_edffa9d73077,prod_29c24bf3cc1d,REC_0903,Asclepion,Dermablate,Er:YAG 2940nm Fractional,device_energy,energy_wavelength: 808nm,https://asclepion.com/en/?lang=en,2026-06-01T01:40:35+08:00
spec_478121d9a25c,pfact_748ea7a999c7,prod_235ebd4ddb77,REC_0902,Asclepion,MeDioStar,810+940nm Diode Hair Removal,device_energy,energy_wavelength: 1060 nm,https://asclepion.com/en/history/,2026-06-01T01:40:35+08:00
spec_b8fdda566207,pfact_492ea24c9b5b,prod_235ebd4ddb77,REC_0902,Asclepion,MeDioStar,810+940nm Diode Hair Removal,device_energy,energy_wavelength: 694 nm,https://asclepion.com/en/history/,2026-06-01T01:40:35+08:00
spec_5786b1fdcb44,pfact_13e3c8282b93,prod_235ebd4ddb77,REC_0902,Asclepion,MeDioStar,810+940nm Diode Hair Removal,device_energy,energy_wavelength: 810 nm,https://asclepion.com/en/history/,2026-06-01T01:40:35+08:00
spec_dbf5596099cb,pfact_f1f5ce2d6ec2,prod_02200d32a924,REC_0429,Asclepion Laser,MCL31 Dermablate,Er:YAG (铒激光),device_energy,energy_wavelength: 250 J/cm2,https://www.aestheticsmedicallaser.com/product/asclepion-mcl31-dermablate-erbium-yag/,2026-06-01T01:40:35+08:00
spec_6d3307e4b9da,pfact_9c4168a42cb0,prod_02200d32a924,REC_0429,Asclepion Laser,MCL31 Dermablate,Er:YAG (铒激光),device_energy,energy_wavelength: 2940nm,https://www.aestheticsmedicallaser.com/,2026-06-01T01:40:35+08:00
spec_0614ba9b820f,pfact_499b237f0282,prod_51a98bd47378,REC_0284,Aurora Medical,Fractal CO2,二氧化碳点阵激光 (CO2 Laser),material_or_ingredient,composition: co2,https://auroradermo.com/fractal/,2026-06-01T01:40:35+08:00
spec_56639b2490a7,pfact_02cde87679a1,prod_2208755ef810,REC_0613,BR Pharm,Revitrane,HA Dermal Filler,volume_packaging,volume_or_fill: 1ml,https://brpharm.com/,2026-06-01T01:40:35+08:00
spec_ea19aa9a8128,pfact_c0cc81ba5cf6,prod_d9c1ddea77c1,REC_0319,BR Pharm,HP Cell Vitaran,PDRN / PN Injection,volume_packaging,volume_or_fill: 0ml,https://pharma-aesthetic.co.uk/product/hp-cell-vitaran-i/,2026-06-01T01:40:35+08:00
spec_7cc037ff1e45,pfact_f671cc522a7a,prod_b5b0c31cc885,REC_0867,BTL,EXION Clear RF,RF for Skin Clarity,commercial_certification,certification_claim: FDA cleared,https://bodybybtl.com/solutions/exion,2026-06-01T01:40:35+08:00
spec_491839b3a853,pfact_c9742c94762b,prod_f9fde9d391b6,REC_0725,Beamed,Unixel RF,CO2 Fractional Laser,device_energy,energy_wavelength: 10600nm,https://lasermed.co.th/?project=unixel-rf,2026-06-01T01:40:35+08:00
spec_1cf3858e0b4c,pfact_4089b23416ff,prod_c22989b2f2ee,REC_0070,Benev,Benev Exosome (ERC / ERC+),Lyophilized Exosomes,device_energy,energy_wavelength: 200 nm,https://www.benev.com/exosome,2026-06-01T01:40:35+08:00
spec_ae4222e99177,pfact_646a49e7ee28,prod_c22989b2f2ee,REC_0070,Benev,Benev Exosome (ERC / ERC+),Lyophilized Exosomes,dose_strength,dose_or_unit: 20 MG,https://www.benev.com/exobalm,2026-06-01T01:40:35+08:00
spec_4de984858769,pfact_930252193eb2,prod_c22989b2f2ee,REC_0070,Benev,Benev Exosome (ERC / ERC+),Lyophilized Exosomes,dose_strength,dose_or_unit: 6 U,https://www.benev.com/post/new-study-on-benev-exosomes,2026-06-01T01:40:35+08:00
spec_808da4b769e1,pfact_75bca17c2cc5,prod_efeb75b92560,REC_0071,Benev,Benev GF Series (GF-DNA),Growth Factors,device_energy,energy_wavelength: 200 nm,https://www.benev.com/exosome,2026-06-01T01:40:35+08:00
spec_469ac568fcc4,pfact_7f24ba2dd062,prod_efeb75b92560,REC_0071,Benev,Benev GF Series (GF-DNA),Growth Factors,volume_packaging,volume_or_fill: 30ml,https://www.benev.com/benev-skincare,2026-06-01T01:40:35+08:00
spec_30930b4a675d,pfact_c8f768a703cd,prod_13d2bdde8bc8,REC_0110,BioFormula,Cellulysis / Phosphatidylcholine,Body Contouring / Lipolysis,dose_strength,dose_or_unit: 12 units,https://bioformula.it/en/product/lipotene/,2026-06-01T01:40:35+08:00
spec_465e47ae1666,pfact_6a6e5b96ce1c,prod_d5b2f27e12d5,REC_0163,BioPlus,DeneB,Body Filler,volume_packaging,volume_or_fill: 10mL,https://bodyfillerkorea.com/,2026-06-01T01:40:35+08:00
spec_8d3c479b65b2,pfact_25a151323e53,prod_623cfce985b8,REC_0295,BioScience,Genefill,Soft Body Filler,commercial_certification,certification_claim: CE mark,https://www.genefill.com/,2026-06-01T01:40:35+08:00
spec_780f8ac30fd9,pfact_d200d97df4e4,prod_f9522eefaf9f,REC_0322,BioScience,HYAcorp,Body HA Filler,commercial_certification,certification_claim: CE mark,https://www.hyacorp.com/,2026-06-01T01:40:35+08:00
spec_781fb6a5eb00,pfact_67ad8cec8191,prod_f9522eefaf9f,REC_0322,BioScience,HYAcorp,Body HA Filler,volume_packaging,volume_or_fill: 1ml,https://www.bio-science.org/products/Body-Filler/HYAcorp-MLF1,2026-06-01T01:40:35+08:00
spec_b268d8c5b8f8,pfact_b64b857de837,prod_c949f5d8cd63,REC_0323,BioScience,HYAcorp Face / Lips,Facial Filler,dose_strength,dose_or_unit: 16.0 mg,http://hyacorp.co.uk/hyacorp-lips/,2026-06-01T01:40:35+08:00
spec_8bce8d0338b4,pfact_07340c13c404,prod_c949f5d8cd63,REC_0323,BioScience,HYAcorp Face / Lips,Facial Filler,dose_strength,dose_or_unit: 2.0 mg,http://hyacorp.co.uk/hyacorp-lips/,2026-06-01T01:40:35+08:00
spec_b5625d7e706d,pfact_66af5150f495,prod_c949f5d8cd63,REC_0323,BioScience,HYAcorp Face / Lips,Facial Filler,volume_packaging,volume_or_fill: 1 syringe,http://hyacorp.co.uk/hyacorp-face/,2026-06-01T01:40:35+08:00
spec_93d5ad2fde67,pfact_f3dabb664856,prod_c949f5d8cd63,REC_0323,BioScience,HYAcorp Face / Lips,Facial Filler,volume_packaging,volume_or_fill: 10.0 mL,http://hyacorp.co.uk/hyacorp-face/,2026-06-01T01:40:35+08:00
spec_53dc28eb2a2d,pfact_d369a506ffe7,prod_c949f5d8cd63,REC_0323,BioScience,HYAcorp Face / Lips,Facial Filler,volume_packaging,volume_or_fill: 2 syringes,http://hyacorp.co.uk/hyacorp-face/,2026-06-01T01:40:35+08:00
spec_449ce7852f0c,pfact_e51d075e334f,prod_facbf7fd2c9f,REC_0331,Biocyte,Hyaluronic Forte,口服透明质酸 (Oral HA),dose_strength,dose_or_unit: 300mg,https://biocyte.pt/,2026-06-01T01:40:35+08:00
spec_bd158d12ab55,pfact_d50793593434,prod_b10f6cd187fc,REC_0207,Bison Medical,Dual Accento,Dual Wavelength Laser,device_energy,energy_wavelength: 1064nm,https://www.aestheticsmedicallaser.com/,2026-06-01T01:40:35+08:00
spec_3fbad6f8cfae,pfact_70ea6e87cd33,prod_b10f6cd187fc,REC_0207,Bison Medical,Dual Accento,Dual Wavelength Laser,device_energy,energy_wavelength: 532nm,https://laserandaesthetics.co.uk/,2026-06-01T01:40:35+08:00
spec_d6273bb5097d,pfact_b6c78c563c4b,prod_b10f6cd187fc,REC_0207,Bison Medical,Dual Accento,Dual Wavelength Laser,device_energy,energy_wavelength: 755nm,https://laserandaesthetics.co.uk/,2026-06-01T01:40:35+08:00
spec_349b825f92f3,pfact_a5bce3a2e918,prod_24d5c6234a2f,REC_0308,Blue Moon,Great Shape / Epil Moon,Diode Laser,device_energy,energy_wavelength: 980nm,https://www.lasersbeauty.com/,2026-06-01T01:40:35+08:00
spec_3aaf83eadc1c,pfact_f12a315d246b,prod_5e2241593845,REC_0083,CMed Aesthetics,BioRePeelCl3 (FND / BODY),Biphasic TCA Peel,dose_strength,dose_or_unit: 20 UNITS,https://cmedaestheticsaustralia.com.au/collections/bioretherapy-face-body-peel,2026-06-01T01:40:35+08:00
spec_5f8d4a62d125,pfact_702381205ef2,prod_2fac7c8740e9,REC_0854,Candela,Vbeam Pro,Enhanced Pulsed Dye Laser,device_energy,energy_wavelength: 1064 nm,https://candelamedical.com/,2026-06-01T01:40:35+08:00
spec_46e536f4114e,pfact_72c57cb69bfa,prod_2fac7c8740e9,REC_0854,Candela,Vbeam Pro,Enhanced Pulsed Dye Laser,device_energy,energy_wavelength: 1064nm,https://candelamedical.com/patient/brands/vbeam/,2026-06-01T01:40:35+08:00
spec_24132ae8d0b2,pfact_98f65c1494ce,prod_2fac7c8740e9,REC_0854,Candela,Vbeam Pro,Enhanced Pulsed Dye Laser,device_energy,energy_wavelength: 595 nm,https://candelamedical.com/,2026-06-01T01:40:35+08:00
spec_1369b9cd4ad0,pfact_338422118bd2,prod_14411b4c02ed,REC_0858,Candela,CO2RE,CO2 Fractional Laser,commercial_certification,certification_claim: CE Marked,https://www.candelalaserus.com/solutions.html,2026-06-01T01:40:35+08:00
spec_493d2cdd2a66,pfact_f5b0cf05c1b0,prod_14411b4c02ed,REC_0858,Candela,CO2RE,CO2 Fractional Laser,commercial_certification,certification_claim: FDA Cleared,https://www.candelalaserus.com/solutions.html,2026-06-01T01:40:35+08:00
spec_cde6610552f9,pfact_c763c288d4e5,prod_14411b4c02ed,REC_0858,Candela,CO2RE,CO2 Fractional Laser,commercial_certification,certification_claim: ISO 13485,https://www.candelalaserus.com/solutions.html,2026-06-01T01:40:35+08:00
spec_1a526d601a01,pfact_8b4812d9404a,prod_95127b4e1783,REC_0497,Candela,Nordlys,IPL / Multi-platform,device_energy,energy_wavelength: 755 nm,https://candelamedical.com/about-candela/,2026-06-01T01:40:35+08:00
spec_0b996701e0df,pfact_e183ec4dcdb7,prod_d56692199d2a,REC_0547,Candela,PicoWay,Picosecond Laser,device_energy,energy_wavelength: 532 nm,https://candelamedical.com/ppc/behindthepulse/,2026-06-01T01:40:35+08:00
spec_f239ec2e0acb,pfact_3d24ff50e261,prod_d56692199d2a,REC_0547,Candela,PicoWay,Picosecond Laser,device_energy,energy_wavelength: 785 nm,https://candelamedical.com/ppc/skinofcolor/,2026-06-01T01:40:35+08:00
spec_4d0c0851510d,pfact_6057021a784b,prod_8def999a07ac,REC_0855,Candela,Vbeam Prima,Dual-Wavelength PDL,commercial_certification,certification_claim: CE Mark,https://candelamedical.com/patient/brands/vbeam/,2026-06-01T01:40:35+08:00
spec_88cb4d01bd9c,pfact_edc0a1232445,prod_726619d6762a,REC_0737,Candela,Vbeam Prima / Perfecta,Pulsed Dye Laser (PDL),device_energy,energy_wavelength: 1064 nm,https://candelamedical.com/products/vbeam-pulsed-dye-laser/,2026-06-01T01:40:35+08:00
spec_4916f08a82a0,pfact_2817ce267afd,prod_e6f95ed73f12,REC_0753,Canfield Scientific,VISIA Gen7 / Gen8,Skin Analysis,commercial_certification,certification_claim: ISO 13485,https://canfieldscientific.com/,2026-06-01T01:40:35+08:00
spec_13e5522eee8b,pfact_456c5fb8a83f,prod_ede0e17a78bc,REC_0350,Canfield Scientific,IntelliStudio / DermaGraphix,Total Body Photography,commercial_certification,certification_claim: ISO 13485,https://www.canfieldsci.com/,2026-06-01T01:40:35+08:00
spec_fb0c99ae70c2,pfact_389998ab246f,prod_3db628294f2c,REC_0933,Caregen,Dermaheal,Dermaheal,commercial_certification,certification_claim: ISO 13485,http://dermaheal.co.kr/,2026-06-01T01:40:35+08:00
spec_f880bb3ff64c,pfact_c99036afecd6,prod_a8401ea0624d,REC_0108,Cha Meditech,Celltermi,Skin Booster,dose_strength,dose_or_unit: 270mg,http://www.cha-meditech.co.kr/en/Products/Review.aspx,2026-06-01T01:40:35+08:00
spec_9ab509b7bfed,pfact_ef44c0e8077d,prod_a8401ea0624d,REC_0108,Cha Meditech,Celltermi,Skin Booster,volume_packaging,volume_or_fill: 3 ml,http://www.cha-meditech.co.kr/en/Products/Review.aspx,2026-06-01T01:40:35+08:00
spec_2a344a2e7640,pfact_727b0b0f472a,prod_a3c4c96b3cb0,REC_0325,Cha Meditech,HyaFilia,HA Dermal Filler,dose_strength,dose_or_unit: 3.0 mg,https://chamt.co.kr/Products/Classic.aspx,2026-06-01T01:40:35+08:00
spec_db7dac1f320b,pfact_16ecb23cf133,prod_a3c4c96b3cb0,REC_0325,Cha Meditech,HyaFilia,HA Dermal Filler,dose_strength,dose_or_unit: 3.2 mg,https://chamt.co.kr/Products/Classic.aspx,2026-06-01T01:40:35+08:00
spec_16a3daf2cc7e,pfact_e4bb026612a5,prod_a3c4c96b3cb0,REC_0325,Cha Meditech,HyaFilia,HA Dermal Filler,volume_packaging,volume_or_fill: 1ml,https://chamt.co.kr/Products/Classic.aspx,2026-06-01T01:40:35+08:00
spec_2e6ea8b928f9,pfact_f8ae775e9ea7,prod_fca98d0ecf02,REC_0326,Cha Meditech,HyaFilia ME:DAM,HA Dermal Filler,volume_packaging,volume_or_fill: 1ml,https://chamt.co.kr/Products/Classic.aspx,2026-06-01T01:40:35+08:00
spec_eb65107c5afc,pfact_cea00988a743,prod_ebfe4e4ad1e7,REC_0124,Christina Cosmeceuticals,Comodex,Comodex Treatment,volume_packaging,volume_or_fill: 250 ml,https://christina-cosmeceuticals.com/collections/comodex,2026-06-01T01:40:35+08:00
spec_1c2efab30b23,pfact_a05902c8574c,prod_bf4e77a75376,REC_0621,Christina Cosmeceuticals,Rose de Mer,Rose de Mer Peeling,volume_packaging,volume_or_fill: 30ml,https://christina-cosmeceuticals.com/products/rose-de-mer-peeling-soap-pro,2026-06-01T01:40:35+08:00
spec_c4bf97c87f5b,pfact_87568a5bf2ce,prod_bf4e77a75376,REC_0621,Christina Cosmeceuticals,Rose de Mer,Rose de Mer Peeling,volume_packaging,volume_or_fill: 75 ml,https://christina-cosmeceuticals.com/collections/rose-de-mer,2026-06-01T01:40:35+08:00
spec_6a3f1ad7fa77,pfact_a1015a8e0a5e,prod_f3ac7de00cf3,REC_0723,Classys,Ultraformer III / MPT (Shurink),HIFU (Ultrasound),device_energy,energy_wavelength: 60Hz,https://classys.com/product_category/body/,2026-06-01T01:40:35+08:00
spec_2275206f432b,pfact_4537e4449c82,prod_63a2fcd1ee8d,REC_0019,Cliniccare,AHA / BHA Peels,Chemical Peel,volume_packaging,volume_or_fill: 100ml,https://cliniccare-de.com/shop/professional-care/pure-peel/,2026-06-01T01:40:35+08:00
spec_b192a9547400,pfact_c95cbf9cee68,prod_63a2fcd1ee8d,REC_0019,Cliniccare,AHA / BHA Peels,Chemical Peel,volume_packaging,volume_or_fill: 30ML,https://cliniccare.se/chemical-peels/glow-peel,2026-06-01T01:40:35+08:00
spec_1b79fcf11b42,pfact_975a810f2801,prod_63a2fcd1ee8d,REC_0019,Cliniccare,AHA / BHA Peels,Chemical Peel,volume_packaging,volume_or_fill: 50ML,https://cliniccare.se/chemical-peels/refresh-peel,2026-06-01T01:40:35+08:00
spec_1a68875a76a2,pfact_0475ccc2b7c9,prod_ba2124d5992a,REC_0225,Cocoon Medical,Elysion-Pro,Diode Laser,device_energy,energy_wavelength: 1064nm,https://www.cocoonlaser.com/products,2026-06-01T01:40:35+08:00
spec_271f87c1e5dd,pfact_fab7e5f19eaf,prod_255de62d6327,REC_0561,Cocoon Medical,Primelase HR excellence,Diode Laser,device_energy,energy_wavelength: 1064nm,https://www.cocoonlaser.com/products,2026-06-01T01:40:35+08:00
spec_fac8dc436c14,pfact_b205617419d5,prod_ce8125425c4c,REC_0101,Contura,Bulkamid,Bulking Agent,commercial_certification,certification_claim: ISO 13485,https://contura.com/history/,2026-06-01T01:40:35+08:00
spec_ec65a81d4313,pfact_8f50c2f2962b,prod_ce8125425c4c,REC_0101,Contura,Bulkamid,Bulking Agent,commercial_certification,certification_claim: MDR,http://contura.com/urinaryincontinence/,2026-06-01T01:40:35+08:00
spec_d871dcecca06,pfact_d86bf813d595,prod_ce8125425c4c,REC_0101,Contura,Bulkamid,Bulking Agent,volume_packaging,volume_or_fill: 1 mL,http://www.bulkamid.com/,2026-06-01T01:40:35+08:00
spec_0f55289e3dd3,pfact_319872cd7029,prod_b3ddb0a7078e,REC_0045,Contura,Aquamid (Reconstruction),Polyacrylamide Hydrogel,commercial_certification,certification_claim: ISO 13485,https://contura.com/history/,2026-06-01T01:40:35+08:00
spec_e431834ad810,pfact_079b743e1371,prod_147bcefb8ca0,REC_0567,Crown,ProGen PRP,Platelet-Rich Plasma,volume_packaging,volume_or_fill: 30mL,https://crownaesthetics.com/wp-content/uploads/2020/03/PG_QuickStartGuide_ELMI-200129.pdf,2026-06-01T01:40:35+08:00
spec_426e9553fcb1,pfact_2b26796e468f,prod_5262ed1dfcc4,REC_0831,Cutera,Secret PRO,RF Microneedling + CO2 Laser,device_energy,energy_wavelength: 1540 nm,https://cuteraconnection.com.au/,2026-06-01T01:40:35+08:00
spec_76cad9a3be4e,pfact_bce50a3f0f3b,prod_8357a6e1f49e,REC_0824,Cynosure,eCO2 3D,Next-Gen CO2 Fractional,device_energy,energy_wavelength: 1550nm,https://www.cynosure.com/for-providers/products/?type=15,2026-06-01T01:40:35+08:00
spec_488fffd21324,pfact_9a07e6fbe2f9,prod_09aa10d3943a,REC_0669,DEKA,SmartXide (Touch / Punto),CO2 Laser,device_energy,energy_wavelength: 100 Hz,https://www.dekalaser.fr/,2026-06-01T01:40:35+08:00
spec_6bb065aecdbc,pfact_d68aca5024a1,prod_09aa10d3943a,REC_0669,DEKA,SmartXide (Touch / Punto),CO2 Laser,device_energy,energy_wavelength: 30 W,https://www.dekalaser.fr/,2026-06-01T01:40:35+08:00
spec_fdae0b3331cb,pfact_50559a522fcc,prod_09aa10d3943a,REC_0669,DEKA,SmartXide (Touch / Punto),CO2 Laser,device_energy,energy_wavelength: 80W,https://technologies.dekalaser.com/en-GB/product.aspx?Item=samrt1,2026-06-01T01:40:35+08:00
spec_513088138626,pfact_20c30e8697b4,prod_09aa10d3943a,REC_0669,DEKA,SmartXide (Touch / Punto),CO2 Laser,material_or_ingredient,composition: CO2,https://www.dekalaser.fr/,2026-06-01T01:40:35+08:00
spec_a14f5aba04ec,pfact_49f5d21ae081,prod_16a3d4775c95,REC_0158,DEKA,Deka,Renaissance / SmartXide,device_energy,energy_wavelength: 675 nm,https://dekalaser.com/product-search/,2026-06-01T01:40:35+08:00
spec_30f83d76daba,pfact_10239c128793,prod_16a3d4775c95,REC_0158,DEKA,Deka,Renaissance / SmartXide,device_energy,energy_wavelength: 755 nm,https://dekalaser.com/product-search/,2026-06-01T01:40:35+08:00
spec_619c27520d46,pfact_f4720dc473d0,prod_16a3d4775c95,REC_0158,DEKA,Deka,Renaissance / SmartXide,device_energy,energy_wavelength: 85 nm,https://dekalaser.com/product-search/,2026-06-01T01:40:35+08:00
spec_6a90ba271cb9,pfact_c443bf46a752,prod_38970f165cf3,REC_0468,DEKA,Motus AX / AY,Alexandrite Laser,device_energy,energy_wavelength: 755 nm,https://dekalaser.com/products/motus-ax/,2026-06-01T01:40:35+08:00
spec_7ef8227a5115,pfact_8563a0dde8b7,prod_4a55b313638e,REC_0897,DEKA,Motus PRO,MOVEO Pain-Free Hair Removal,device_energy,energy_wavelength: 1064 nm,https://deka-beauty.de/motus-pro,2026-06-01T01:40:35+08:00
spec_98d9baa7c479,pfact_6d4b46216c40,prod_1ce5f9b8db37,REC_0259,DFK Biolab,Exo One,Exosomes,volume_packaging,volume_or_fill: 2vials,https://sbodyline.com/shop/ireju-xo-prime/,2026-06-01T01:40:35+08:00
spec_f1d67fe7e547,pfact_418d3f367ac6,prod_1ce5f9b8db37,REC_0259,DFK Biolab,Exo One,Exosomes,volume_packaging,volume_or_fill: 3 vial,https://sbodyline.com/shop/ireju-xo-prime/,2026-06-01T01:40:35+08:00
