seed_record_id,product_id,company,brand,standard_product_name,score,url,final_url,title,indication
REC_0485,prod_0b017e1f0144,Energist,NeoGen,NeoGen SPA,62,https://www.neogenplasma.co.uk/about-us/,https://www.neogenplasma.co.uk/about-us/,About Us – NeoGen Plasma,"Indications, with minimal downtime.; I particularly like being able to treat isolated facial regions or lesions without concerns about demarcation lines."
REC_0485,prod_0b017e1f0144,Energist,NeoGen,NeoGen SPA,62,https://neogenplasma.co.uk/,https://www.neogenplasma.co.uk/,Nitrogen Plasma Skin Regeneration | NeoGen UK,"Indications, with minimal downtime.; I particularly like being able to treat isolated facial regions or lesions without concerns about demarcation lines."
REC_0611,prod_b77b658280b7,Prollenium Medical,Revanesse,Revanesse Versa / Lips,87,https://revanesse.com/instructions-for-use/,https://revanesse.com/ifu,Instructions for Use - Revanesse,Approved for use in the U.S.; by the Food and Drug Administration (FDA) to correct the appearance of facial wrinkles and creases (nasolabial folds).
REC_0656,prod_47e4043a000e,Skinderma Medical,Skinderma,Meso Vials,62,https://mesotherapy-solutions.com/product/skinderma-antiaging-combo-5-x-10ml-vials/,https://mesotherapy-solutions.com/product/skinderma-antiaging-combo-5-x-10ml-vials/,"SKINDERMA Antiaging Combo 5 x 10ml vials | Mesotherapy Cocktails, Exosomes Regenerative Skin Boosters","Indications:; Suitable for all skin types showing signs of aging, dehydration, and loss of elasticity."
REC_0828,prod_9de0668e45ad,Cynosure,Smartlipo Triplex,Triple-Wavelength Laser Lipolysis,87,https://www.cynosure.com/product/smartlipo-triplex/,https://www.cynosure.com/product/smartlipo-triplex/,Laser Lipo Machine | Smartlipo® Triplex® | Cynosure,"Intended for the surgical incision, excision, vaporization, ablation, and coagulation of soft tissue.; How Smartlipo works."
REC_0828,prod_9de0668e45ad,Cynosure,Smartlipo Triplex,Triple-Wavelength Laser Lipolysis,87,http://www.cynosure.com/product/smartlipo/,https://www.cynosure.com/product/smartlipo-triplex/,Laser Lipo Machine | Smartlipo® Triplex® | Cynosure,"Intended for the surgical incision, excision, vaporization, ablation, and coagulation of soft tissue.; How Smartlipo works."
REC_0828,prod_9de0668e45ad,Cynosure,Smartlipo Triplex,Triple-Wavelength Laser Lipolysis,87,https://www.cynosurecanada.com/product/smartlipo-triplex/,https://www.cynosurecanada.com/product/smartlipo-triplex/,Laser Lipolysis - Smartlipo® Triplex® - Cynosure,"Intended for the surgical incision, excision, vaporization, ablation, and coagulation of soft tissue.; How Smartlipo works."
REC_0855,prod_8def999a07ac,Candela,Vbeam Prima,Dual-Wavelength PDL,87,https://marketing.syneron-candela.com/Vbeam-Prima-Launch-Registration.html,https://marketing.syneron-candela.com/Vbeam-Prima-Launch-Registration.html,Vbeam Prima,"Indicated for treatment of vascular, pigmented and certain non-pigmented lesions.; Our bestselling Vbeam Perfecta has long been the gold standard and the world's bestselling pulsed-dye laser."
REC_0919,prod_28fde9b0afc2,Venus Concept,Venus Versa Pro,Venus Versa Pro,87,https://www.venus.ai/en-gb/regulatory,https://www.venus.ai/en-gb/regulatory,Regulatory Clearances,"Indicated for treatment of moderate to severe wrinkles and rhytides in Fitzpatrick skin types I-IV.; Venus Epileve™ is licensed by Health Canada and has CE Mark for hair removal, permanent hair reduction (defined as the long-term stable reduction in the number of hairs re-growing when measured at 6, 9 and 12 months after the completion of a treatment regimen), and the treatment of pseudofolliculitis barbae for all Fitzpatrick skin types."
REC_0982,prod_6fea695d0ecd,Lumenis,Legend Pro,Legend Pro+,62,https://legendskin.com/,https://lumenis.com/aesthetics/products/legend-pro/,Skin treatments platform with unique RF assist micro needling and TriPollar® RF | Lumenis,Indications include: skin resurfacing and treatment of mild to moderate wrinkles and rhytids.; PB-2010179 Rev A.
REC_1004,prod_48196660d7e3,Lutronic / Cynosure Lutronic,LaseMD,LaseMD Ultra,87,https://www.cynosure.com/product/ultra/,https://www.cynosure.com/product/ultra/,Ultra 1927 nm Thulium Laser - Cynosure Lutronic,"Intended for distribution in the US only.; The LaseMD Ultra laser system is indicated for use in dermatological procedures requiring the coagulation of soft tissue, treatment of actinic keratosis, and treatment of benign pigmented lesions such as, but not limited to lentigos (age spots), solar lentigos (sunspots) and ephelides (freckles)."
REC_1011,prod_7a2627f43512,Jeisys Medical,Jeisys,EdgeONE,87,https://jeisyseurope.com/,https://jeisyseurope.com/,Precision-Driven RF Microneedling With POTENZA® Jeisys Europe,Intended for use in dermatologic and electronic surgical procedures for electrocoagulation and hemostasis.; ​POTENZA is a registered trademark of Jeisys Medical Inc.
