confirm_id,group,group_instruction,priority,gap_score,seed_record_id,company,brand,original_product_name,track,form,technology,current_problem,lead_url,lead_domain,recommended_action,suggested_user_reply_options,korea_p1,korea_status
NEXT-011,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_GALDERMA_RESTYLANE_VITAL_LIGHT_20260530,Galderma,Restylane Skinboosters Vital Light,HA Skin Quality Booster for Delicate Areas,Injectables,Skin Booster,HA Skinbooster,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.galderma.com/au/sites/default/files/restylane_skinboosters_vital_light_lidocaine_patient_information_leaflet.pdf,galderma.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-012,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P0,98,TOPLINE_MEDYTOX_NEWLUX_20260530,Medytox,NEWLUX,Botulinum Toxin Type A 100U,Injectables,Neurotoxin,Botulinum Toxin Type A,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库；韩国 MFDS/KFDA P1：需先核产品身份,https://luxbio.net/product/coretox-100ui/,luxbio.net,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-013,再生材料/生物刺激剂,确认是否作为独立产品线保留，并给官方适应证与 CE/KFDA/FDA 状态。,P0,98,TOPLINE_SINCLAIR_LANLUMA_20260530,Sinclair Pharma,Lanluma,PLLA Collagen Stimulating Injectable Filler,Injectables,Biostimulator,PLLA Biostimulator,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.medvalley.cn/,medvalley.cn,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-014,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_SINCLAIR_PERFECTHA_20260530,Sinclair Pharma,Perfectha,HA Dermal Filler Line,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.medvalley.cn/,medvalley.cn,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-015,再生材料/生物刺激剂,确认是否作为独立产品线保留，并给官方适应证与 CE/KFDA/FDA 状态。,P0,94,UPR_KARISMA_001,Taumedika SRL,Karisma FACE Rh Collagen,Karisma FACE Rh Collagen,Injectables,Biostimulator,Rh Collagen,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-016,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1015,Advance Esthetic,Adonyss,CarbonFrax CO2,EBD,Laser,CO2 Laser,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-017,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1016,Advance Esthetic,Adonyss,DioPulse 808,EBD,Laser,Diode Laser,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-018,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1017,Advance Esthetic,Adonyss,T-Novation,EBD,Laser,Q-Switched Laser,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-019,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1018,Advance Esthetic,Adonyss,OxiPulse,EBD,Professional Treatment,Oxygen Therapy,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-020,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1019,Advance Esthetic,Zemits,CoolRestore Elegance,EBD,Cryotherapy,Cryolipolysis,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-021,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1020,Advance Esthetic,Zemits,DermeLuxx,EBD,Skin Management,Hydrodermabrasion / Oxygen Infusion,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-022,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1021,Advance Esthetic,Zemits,Verstand HD / Pro,EBD,HIFU,LIPUS / Multi-function,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-023,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1022,Advance Esthetic,Zemits,Abigon Pro,EBD,Radiofrequency,LIPUS / Radiofrequency,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-024,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1054,Aezian,aesPlla,aesPlla PLLA Filler,Injectables,Biostimulator,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-025,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1055,FacePharm Korea,Etrebelle,Etrebelle 50 mg / 200 mg,Injectables,Biostimulator,PDLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-026,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1051,Meamo Labs,BEAUX,BEAUX Collagen Stimulator (PDLLA/HA),Injectables,Biostimulator,PDLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-027,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1052,Meamo Labs,BEAUY,BEAUY (PLLA 200),Injectables,Biostimulator,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-028,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1053,USCAREPHARM,ERBELLA,ERBELLA PLA PLUS AQ / EPI,Injectables,Skin Booster,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-029,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1050,WEDERM,POWER COL-TRA,POWER COL-TRA,Injectables,Biostimulator,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-030,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,80,REC_0426,Kylane,Kysense,Kysense Body HA filler,Injectables,Dermal Filler,Hyaluronic Acid,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://aestheticmed.co.uk/,aestheticmed.co.uk,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-031,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P0,78,REC_0883,Medytox,New Biju,Cholic Acid Lipolytic,Injectables,Lipolytic,Lipolytic,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库；韩国 MFDS/KFDA P1：需先核产品身份,https://www.asiae.co.kr/en/article/2023121815474699090,asiae.co.kr,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-032,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,66,REC_0501,Baz Biomedic,NOVAPlus Nozzle,专用无针喷嘴 (Nozzle Kits),Consumables,Disposables,Needle-Free Injector Nozzle,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.aestheticnews.co.kr/news/articleView.html?idxno=11202,aestheticnews.co.kr,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-033,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,66,REC_0733,BTL,Vanquish ME,Contactless Fat Reduction,EBD,Radiofrequency,Radiofrequency,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://btlaesthetics.com.au/for-providers/vanquishme-providers/,btlaesthetics.com.au,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-034,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,66,REC_0870,BTL,Vanquish ME,Non-Contact Selective RF,EBD,Radiofrequency,Monopolar RF,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.biospace.com/btl-vanquish-by-b-btl-industries-b-receives-fda-clearance-for-non-surgical-circumferential-reduction-of-the-abdomen,biospace.com,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-035,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,66,REC_0467,NCRI,Mosquito Needle,Carbon Nanotube Needle,Consumables,Needles & Cannulas,Painless Needle,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.freepatentsonline.com/y2014/0296780.html,freepatentsonline.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-036,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,62,REC_0216,A.A.M.S.,E-Finger,无针经皮给药系统,EBD,Other EBD,Electroporation,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；缺已核差异化/规格点,https://aamsworld.com/nos-solutions/electroporation/?lang=en,aamsworld.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-037,其他高优先级待核,请按是否医美上游、是否独立产品线、是否有官方适应证/监管来判断。,P1,62,REC_0716,Universal IPS,U.IPS,Surgical Implants,Implants,Other Implant,Surgical Implant,缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://ab-dent.com/u-product/psi/,ab-dent.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,,
NEXT-038,其他高优先级待核,请按是否医美上游、是否独立产品线、是否有官方适应证/监管来判断。,P1,60,REC_0438,ABG Lab LLC,Meso-Eye C71™,Specific Areas,Injectables,Mesotherapy,Mesotherapy,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://abglab.com/aestheticsolutions/aesthetictreatments/mesoeyec71,abglab.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-039,其他高优先级待核,请按是否医美上游、是否独立产品线、是否有官方适应证/监管来判断。,P1,60,REC_0439,ABG Lab LLC,Meso-Genesis BP3™,Hair Restoration,Injectables,Mesotherapy,Mesotherapy,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://www.artbeauty.lv/en/service/bioreparacija-no-abg-lab-llc-laboratorijas-asv/,artbeauty.lv,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-040,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,58,REC_0724,BTL,Unison,BTL Unison,EBD,Radiofrequency,Radiofrequency,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://aestheticmed.co.uk/btl-aesthetics-launches-btl-unison,aestheticmed.co.uk,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-041,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P1,58,REC_0932,Caregen,Aquashine,Aquashine,Injectables,Dermal Filler,Hyaluronic Acid,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库；韩国 MFDS/KFDA P1：需先核产品身份,https://aestheticpharma.com/gb/308-caregen-ltd,aestheticpharma.com,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-042,专业护肤/术后修护,确认是否院线/医美机构使用的专业产品线；普通护肤或下游项目可排除。,P1,58,UPR_ANTEAGE_MD_001,Cellese / AnteAGE,AnteAGE MD,AnteAGE MD Growth Factor / Exosome Treatment Solutions,Skincare,Cosmeceutical,Growth Factors / Exosomes,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺已核差异化/规格点,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-043,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0600,A.A.M.S.,Rejulight,LED光疗设备,EBD,IPL,LED Therapy,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://aamsworld.com/nos-solutions/phototherapy-2/?lang=en,aamsworld.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-044,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0150,APS,Dalyance,射频 + 超声波,EBD,Radiofrequency,LIPUS,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://www.aestheticathens-zarnavellis.gr/en/services/aesthetic-surgery/dalyance,aestheticathens-zarnavellis.gr,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-045,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0240,APS,Epil One,半导体脱毛激光,EBD,Laser,Diode Laser,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://www.apgtech.eu/prodotti/epildream-2/,apgtech.eu,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-046,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,54,REC_0626,Cocoon Medical,Safyre,Safyre,EBD,Radiofrequency,Radiofrequency,主表仍是 seed/未核身份；缺注册证据；缺官方适应证,https://bimedis.com/cocoon-medical-safyre-m518150,bimedis.com,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
