seed_record_id,product_id,company,brand,standard_product_name,track,form,total_score,source_score,extract_score,source_url,search_title,fetched_title,indication
REC_0748,prod_c905425b5811,Sinclair Pharma,Viora,Reaction,EBD,Radiofrequency,133,36,97,https://sinclair.com/media/dfjgkkdw/reaction-safetyandperformaceinformation-2025.pdf,"Reaction - Safety and Performance Information In Europe, the Reaction device is indicated for temporary reduction of cellulite and body contouring via temporary circumference reduction. In the United States is indicated for the relief of minor muscle aches and pain, relief of muscle spasm, temporary improvement of local blood circulation, temporary reduction in the appearance of cellulite. CONTRAINDICATIONS • Pregnancy. • Any skin disease in the treatment area (such as herpes, eczema, rash). • Treatment over tattoo or permanent makeup. • History of hip replacement, hip or femur surgery, or other metallic device in the treatment area. • Cardiac pacemaker, defibrillator, or another implanted electronic device. • Blood coagulopathy or excessive bleeding or bruising. • History of deep vein thrombosis. • Use of Accutane within the past 6 months. • Use of blood thinning medications (anticoagulants). • Active or recent malignancy (cancer). • Uncontrolled thyroid disease. • Impaired immune system (such as HIV). • Any prior aesthetic or medical surgery affecting the area to be treated, 3 months prior to treatment. • Any history of disease which may be stimulated by heat, such as Herpes in the treatment area. • Any endocrine disorder, such as diabetes. • Use of drugs that influence the immune system • Extra dry or sensitive skin • Sunburns in the treatment area • Suffering from Keloid scars or impaired wound healing Additional Contraindications for ST treatment: • Do not treat patients who have undergone synthetic filler procedures (i.e. silicon) in the designated treatment area. • Patients who have not undergone any cosmetic procedures may begin the treatment course. However, in other cases, the following guidelines must be applied: • Patients who receive Botulinum toxin injections should avoid any treatment for 2-4 days thereafter. • Patients who have undergone chemical peels or natural fillers should avoid treatment for at least two weeks before beginning the ST treatment. • Patients should wait at least 3-6 months after deep chemical peels and laser fillings. • Patients who undergone needle epilation treatments must wait at least 6 weeks before commencing the treatment course. NOTE: A qualified practitioner is solely responsible for assessing each patient’s suitability for Reaction treatment and for providing comprehensive information about potential risks, pre- and post-treatment care, and any other relevant information. WARNINGS AND CAUTIONS WARNING: Any intense radiofrequency (RF) device can cause injury if used improperly. WARNING: No modification of this equipment is allowed. WARNING: It is important that the operators of this system familiarize themselves with all safety requirements and operating procedures prior to operating the system. WARNING: Any intense RF device may cause injury if used improperly. WARNING: In case of improper coupling, the trigger should be released immediately, and the applicator should be re-oriented on the skin. In rare cases superficial burns may occur from the heat generated by the RF electrodes. WARNING: Use of this equipment adjacent to or stacked with other equipment should be avoided because it could result in improper operation. If such use is necessary, this equipment and the other equipment should be observed to verify that they are operating normally. WARNING: Portable RF communications equipment (including peripherals such as antenna cables and external antennas) should be used no closer than 30 cm (12 inches) to any part of the System, including cables specified by the manufacturer. Otherwise, degradation of the performance of this equipment could result. WARNING: Improper treatment may cause local burns. WARNING: Untrained operators should not operate the system before reading the safety section! WARNING: Proper grounding is essential for safe operation. WARNING: You may treat patients only after passing appropriate training and adhere to all local and state regulations regarding the use of this system. WARNING: Be careful not to spill any liquids on the system. WARNING: While gently cleaning the applicator, avoid moisture and dirt from getting into the applicator’s filters. WARNING: It is extremely important to completely clean the entire surface of the electrodes to avoid coupling materials accumulation. WARNING: Before using the device, please check local regulations. If any local legislation is violated, use cannot be authorized. WARNING: In the United States, federal law restricts prescription medical devices to sale by or on the order of a physician, or properly licensed practitioner. Sincalir makes no representations regarding federal, state, or local laws or regulations that might apply to the use and operation of this device. CAUTION: To avoid clogging the applicator‘s internal filters, the applicator tip must be removed and cleaned immediately after every treatment. CAUTION: Do not use any anesthesia or numbing cream before RF procedure to ensure proper patient feedback during the treatment. CAUTION: Re-connect the applicator to the handpiece only when completely clean and dry. CAUTION: Do not use any harsh chemicals to clean the applicator tips. CAUTION: Do not sterilize the applicator tips. SIDE EFFECTS All side effects are considered mild, of a short duration, self-resolving which did not require medical attention. This includes discomfort and local pain, erythema, edema, changes in skin texture, urticaria, bruising, allergic contact dermatitis to the contact oil or gel, itching and sensitivity to touch, hyper- and hypopigmentation.",,Is indicated for temporary reduction of cellulite and body; contouring via temporary circumference reduction.
REC_0902,prod_235ebd4ddb77,Asclepion,MeDioStar,810+940nm Diode Hair Removal,EBD,Laser,131,44,87,https://www.aestheticsmedicallaser.com/product/asclepion-mediostar-laser-hair-removal/,Asclepion MedioStar - MedioStar,Asclepion MedioStar - MedioStar,"Intended for surgical, aesthetic and cosmetic applications in the medical specialties of general and plastic surgery and dermatology.; The MeDioStar is intended for hair removal, benign vascular lesions, and benign pigmented lesions."
REC_0412,prod_d585e7929cef,Bison Medical,Lucid Q-PTP,Q-Switched Nd:YAG,EBD,Laser,131,44,87,https://laserandaesthetics.co.uk/manufacturers/suppliers/bison/lucid-q-ptp/,Lucid Q-PTP,Lucid Q-PTP,Indicated for treatment of multiple conditions such as; Pigment treatment.
REC_0860,prod_36ae1e81e1bc,Candela,Frax Pro,Dual-Wavelength Fractional,EBD,Laser,131,44,87,https://dubovabeauty.com/candela-nordlys-frax-pro-1/,Fractional non-ablative laser skin resurfacing with Candela Frax Pro - Dubova Beauty,Fractional non-ablative laser skin resurfacing with Candela Frax Pro - Dubova Beauty,"Intended for more superficial resurfacing, targeting the epidermis and upper dermis (up to 200 µm).; Preparation for the treatment."
REC_0841,prod_9d164b78897f,InMode,Solaria,Fractional CO2 Laser,EBD,Laser,131,44,87,https://www.abbraccimedspa.com/treatments/co2-laser/,Co2 Laser: Solaria by InMode - Abbracci Med Spa,Co2 Laser: Solaria by InMode - Abbracci Med Spa,Indicated for ablative skin resurfacing.; WHAT IS SOLARIA?.
REC_0361,prod_954fd28ff315,Jeisys Medical,Jeisys,Density,EBD,Radiofrequency,131,44,87,https://www.jeisys-us.com/density,Density by Jeisys | Advanced Energy-Based RF Treatment For Providers,Density by Jeisys | Advanced Energy-Based RF Treatment For Providers,Cleared for dermatologic and general surgical procedures; Frequently Asked Questions.
REC_0566,prod_acd5efffb9e9,IBSA Derma,Profhilo,Profhilo Body,Injectables,Skin Booster,127,40,87,https://hyaluronicfillermarket.com/en/dermal-filler/profhilo-body,Profhilo Body Kit - IBSA | Hyaluronic Filler Market,Profhilo Body Kit - IBSA | Hyaluronic Filler Market,"Intended for the treatment of laxity of the body skin in the brachial region, abdominal region, etc., and is characterized by stabilized hybrid cooperative complexes of H-HA and L-HA."
REC_0888,prod_4077ef8059fe,IBSA Derma,Profhilo Body,HA Bio-Remodeling for Body,Injectables,Dermal Filler,127,40,87,https://hyaluronicfillermarket.com/en/dermal-filler/profhilo-body,Profhilo Body Kit - IBSA | Hyaluronic Filler Market,Profhilo Body Kit - IBSA | Hyaluronic Filler Market,"Intended for the treatment of laxity of the body skin in the brachial region, abdominal region, etc., and is characterized by stabilized hybrid cooperative complexes of H-HA and L-HA."
REC_0940,prod_c9edd723d544,Wontech,PICOCARE,PICOCARE 450/Majesty,EBD,Laser,127,40,87,https://fda.innolitics.com/submissions/SU/subpart-e%E2%80%94surgical-devices/GEX/K241144,Picosecond Nd:YAG Laser (PICOCAREMAJESTY) (K241144) — FDA 510(k) | Innolitics,Picosecond Nd:YAG Laser (PICOCAREMAJESTY) (K241144) — FDA 510(k) | Innolitics,"Indications<br>for Use; The<br>PICOCAREMAJESTY is<br>indicated for the<br>following at the specified<br>wavelength:<br><br>• 1064 nm: Removal of<br>tattoos for all skin types<br>(Fitzpatrick I-VI) to treat<br>the following tattoo<br>colors: black, brown,<br>green, blue and purple.<br><br>• 532 nm: Removal of<br>tattoos for Fitzpatrick skin<br>types I-III to treat the<br>following tattoo colors:<br>red, yellow and orange.<br><br>• Treatment of benign<br>pigmented lesions for<br>Fitzpatrick skin types I-<br>IV."
REC_0940,prod_c9edd723d544,Wontech,PICOCARE,PICOCARE 450/Majesty,EBD,Laser,127,40,87,https://fda.innolitics.com/submissions/SU/subpart-e%E2%80%94surgical-devices/GEX/K212127,Picocaremajesty (K212127) — FDA 510(k) | Innolitics,Picocaremajesty (K212127) — FDA 510(k) | Innolitics,"Is indicated for<br>tattoo removal for lighter<br>colored tattoo inks,<br>including red and yellow<br>inks, on patients with<br>Fitzpatrick skin types I-<br>III; ; tattoo colors:<br>black, brown,<br>green, blue and<br>purple.<br>• Treatment of<br>benign pigmented<br>lesions on<br>Fitzpatrick skin<br>types I-IV.<br><br>532nm<br>wavelength:<br>Removal of<br>tattoos on<br>Fitzpatrick skin<br>types I-III with<br>the following<br>tattoo colors: red,<br>yellow and<br>orange.<br>• Treatment of<br>benign pigmented<br>lesions on<br>Fitzpatrick skin<br>types I-IV."
REC_0528,prod_15ce67dc07e2,Pollogen,OxyGeneo,Geneo X / Glo2Facial,EBD,Laser,126,64,62,https://pollogen.com/clinical-studies/a-novel-skin-care-platform-for-anti-aging-and-rejuvenation-oxygeneo-and-tripollar-rf-technologies/,A Novel Skin Care Platform For Anti-Aging & Rejuvenation OxyGeneo & TriPollar RF Tech - Pollogen,A Novel Skin Care Platform For Anti-Aging & Rejuvenation OxyGeneo & TriPollar RF Tech - Pollogen,Indication for reduction of pore size and general brightening of skin tone.; In some cases a visible improvement of periorbital wrinkles was noticed.
REC_0527,prod_99d401f41fe2,Pollogen,OxyGeneo,Geneo X,EBD,Laser,126,64,62,https://pollogen.com/clinical-studies/a-novel-skin-care-platform-for-anti-aging-and-rejuvenation-oxygeneo-and-tripollar-rf-technologies/,A Novel Skin Care Platform For Anti-Aging & Rejuvenation OxyGeneo & TriPollar RF Tech - Pollogen,A Novel Skin Care Platform For Anti-Aging & Rejuvenation OxyGeneo & TriPollar RF Tech - Pollogen,Indication for reduction of pore size and general brightening of skin tone.; In some cases a visible improvement of periorbital wrinkles was noticed.
REC_0338,prod_446cbbef2b08,IDS / Innovative Device Solutions,IDS,XLASE / Oron,EBD,Laser,123,36,87,https://fda.innolitics.com/submissions/SU/subpart-e%E2%80%94surgical-devices/GEX/K212790,XLase Plus (K212790) — FDA 510(k) | Innolitics,XLase Plus (K212790) — FDA 510(k) | Innolitics,"Indicated for<br>permanent reduction in<br>hair regrowth, defined<br>as a long term, stable<br>reduction in the<br>number of hairs re-<br>growing when<br>measured at 6, 9, and<br>12 months after the<br>completion of a<br>treatment regime.<br>(Skin Types<br>Fitzpatrick I-VI),<br>photocoagulation and<br>hemostasis of benign<br>pigmented and benign<br>vascular lesions,<br>treatment of benign<br>pigmented lesions,<br>such as but not limited<br>to warts,<br>telangiectasia, leg<br>veins and spider veins."
REC_0871,prod_565dcef1d971,BTL,Exilis Ultra,RF + Ultrasound Combination,EBD,Radiofrequency,122,60,62,https://sanoplast.de/en/brand/exilis-ultra-360/,Exilis Ultra 360 — RF and Ultrasound by BTL | sanoplast.de,Exilis Ultra 360 — RF and Ultrasound by BTL | sanoplast.de,"Indications; Non-invasive body contouring and fat reduction: abdomen, flanks, thighs, arms."
REC_0412,prod_d585e7929cef,Bison Medical,Lucid Q-PTP,Q-Switched Nd:YAG,EBD,Laser,122,60,62,https://universalglobaldevice.com/product/bison-lucid-q-ptp-ndyag-q-switch-laser-system/,Bison Lucid Q PTP Nd:YAG Q-Switch Laser System - Universal Global Device,Bison Lucid Q PTP Nd:YAG Q-Switch Laser System - Universal Global Device,"Indication; Pigmented lesions : freckles, melasma, ABNOM, Becker’s nevus."
REC_0739,prod_452fa724d75f,Canfield Scientific,VECTRA XT / H2,3D Simulation,Diagnostics,Imaging,122,60,62,https://www.canfieldscientific.com/imaging-systems/vectra-xt-3d-imaging-system/,VECTRA XT 3D Imaging System |  Canfield Scientific,VECTRA XT 3D Imaging System |  Canfield Scientific,"Indication of asymmetry by showing the difference in volume between the two breasts.; The user can then make adjustments to the implant parameters, including volume and profile changes to deal with the asymmetry."
REC_0622,prod_5c3441c05358,Skin Tech,RRS,RRS HA Tensor Lift,Injectables,Skin Booster,122,60,62,https://priormedical.eu/skin-boosters/rrs-ha-tensor-lift-6-5ml/?v=0b3b97fa6688,RRS® HA Tensor Lift — 6x5 ml | Buy Now | Delivery Worldwide,RRS® HA Tensor Lift — 6x5 ml | Buy Now | Delivery Worldwide,"Indications for use?; The product is used in cases of reduced skin firmness, loss of density, and early signs of skin laxity."
REC_0656,prod_47e4043a000e,Skinderma Medical,Skinderma,Meso Vials,Injectables,Mesotherapy,122,60,62,https://mesotherapy-solutions.com/product/skinderma-antiaging-combo-5-x-10ml-vials/,"SKINDERMA Antiaging Combo 5 x 10ml vials | Mesotherapy Cocktails, Exosomes Regenerative Skin Boosters","SKINDERMA Antiaging Combo 5 x 10ml vials | Mesotherapy Cocktails, Exosomes Regenerative Skin Boosters","Indications:; Suitable for all skin types showing signs of aging, dehydration, and loss of elasticity."
REC_0276,prod_1104b252f1d2,Daeyang Medical,Focus Dual,HIFU + RF Microneedling,EBD,Microneedling,118,56,62,https://um-health.com/focus-dual/,Ultramed | Focus Dual HIFU Treatment,Ultramed | Focus Dual HIFU Treatment,Indications; Acne scars / Surgery scars / Open pores / Stretch marks / Pigmentation / Rejuvenation / Fine lines &wrinkles / Skin tightening / Face & body lifting ( HIFU) / Double chin tightening (HIFU) / Eyebrow lifting.
REC_0947,prod_a76a87ba7c16,Hironic,DOUBLO,DOUBLO Gold,EBD,HIFU,114,52,62,https://www.suryametrodevice.com/product/hironic-doublo-gold-hifu-system/,Hironic Doublo Gold HIFU System - Surya Metro Device,Hironic Doublo Gold HIFU System - Surya Metro Device,Indication of Hironic Doublo Gold HIFU System; Face and body lifting.
REC_0947,prod_a76a87ba7c16,Hironic,DOUBLO,DOUBLO Gold,EBD,HIFU,114,52,62,https://www.swastikamedical.com/product/hironic-doublo-gold-hifu-system/,Hironic Doublo Gold HIFU System | Swastika Medical,Hironic Doublo Gold HIFU System | Swastika Medical,Indication of Hironic Doublo Gold HIFU System; Face and body lifting.
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,Injectables,Mesotherapy,110,48,62,https://trelis.eu/en/brands/subdistribution/mesosculpt-c71,Mesosculpt C71 is a lipolytic agent containing a peptide complex. | Trelis,Mesosculpt C71 is a lipolytic agent containing a peptide complex. | Trelis,"Indications for use; : plump cheeks, including “Bichat’s fat pads,” pronounced nasolabial folds caused by voluminous fat pads in the cheekbone area, double chin, blurred facial oval in cases of pastose (puffy) type aging, widened nasal bridge and tip, malar bags."
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,Injectables,Mesotherapy,110,48,62,https://en.topdermal.com/product/mesosculpt-c71/,"MesoSculpt C71 1x1ml, lipo reduction for the face area","MesoSculpt C71 1x1ml, lipo reduction for the face area","Indications:; Excessive volumes of subcutaneous fat and fat compartments in the area of the middle and / or lower third of the face, submental region and neck."
REC_0396,prod_69f3db034694,Haim Aesthetics,LeVair,LeVair PDRN / Exovair,Regenerative,Exosome,110,48,62,http://haimaesthetics.com/LeVairSkinBoosters,Haim Aesthetics LeVair Collection,Haim Aesthetics LeVair Collection,Indications; LeVair 135 The Ultimate Hydration Skin Booster.
REC_0895,prod_1c145f78da2e,IBSA Derma,Viscoderm Skinko E,Enhanced Mesotherapy Cocktail,Injectables,Mesotherapy,110,48,62,https://frayamedsupply.com/us/product/viscoderm-skinko-e-viscoderm-skinko-kit/,Viscoderm Skinko E & Kit — Antioxidant Mesotherapy | Fräya US,Viscoderm Skinko E & Kit — Antioxidant Mesotherapy | Fräya US,"Indication: skin hydration, antioxidant protection, and skin quality improvement; Treatment zones: face, neck, décolleté, hands."
REC_0106,prod_bc10482ec24e,Suisselle,Cellbooster PN,PN (Polynucleotide),Injectables,Skin Booster,110,48,62,https://suisselle.com/product/cellbooster-lift/?accept-cookies=,CELLBOOSTER® LIFT - Suisselle,CELLBOOSTER® LIFT - Suisselle,"Indications; – The device is a resorbable injectable implant for use in the epidermis or dermis for diminishing moderate skin depression and providing dermis re-densification and provides deep hydration, and improvement with microcirculation."
REC_0207,prod_b10f6cd187fc,Bison Medical,Dual Accento,Dual Wavelength Laser,EBD,Laser,106,44,62,https://laserandaesthetics.co.uk/manufacturers/suppliers/bison/dual-accento/,Dual Accento,Dual Accento,For the treatment of; Laser hair removal skin types 1-6.
REC_0412,prod_d585e7929cef,Bison Medical,Lucid Q-PTP,Q-Switched Nd:YAG,EBD,Laser,106,44,62,https://urbandevicestore.com/product/bison-medical-lucid-q-ptp-tattoo-removal/,Bison Medical Lucid Q PTP Tattoo Removal - Urban Device Store,Bison Medical Lucid Q PTP Tattoo Removal - Urban Device Store,"Indication; Pigmented lesions : freckles,melasma, ABNOM, Becker’s nevus."
REC_0141,prod_8b3778f3e2c0,Cryoalfa,Cryoalfa LUX / SUPER,Cryotherapy Pen,EBD,Cryotherapy,106,44,62,https://teckho.no/produkt/fotterapeuter-helsepersonel/kryobehandling-startersett,Cryoalfa® SUPER and SUPER-CONTACT,"Cryoalfa® SUPER and SUPER-CONTACT | TeckHo As, Fotpleie og hudpleie utstyr av høy kvalitet fra IONTO-COMED og SUDA","Indications are benign skin lesions such as: granuloma, derma fibroma, condyloma, genital lesions, molluscum contagiosum, seborrheic keratoses, actinic keratoses, warts on hands, warts on feet, lentigo, angiofibroma."
REC_0280,prod_ced9c2685e0e,Fotona d.o.o.,Fotona,SP Dynamis (4D Pro),EBD,Laser,106,44,62,https://lasermarket.co.uk/laser-suppliers/fotona/fotona-sp-dynamis/,Fotona SP Dynamis Laser,Fotona SP Dynamis Laser,Indications:; Soft tissue surrounding the eye.
REC_0543,prod_9bb0117dfaf5,Hironic,PicoHi,PicoHi 300,EBD,Laser,106,44,62,https://www.luvida.com.my/hironic-picohi-300.html,Hironic - Picohi 300 - Luvida Medical,Hironic - Picohi 300 - Luvida Medical,INDICATIONS; PICOHI 300; Pigmentation & Melasma.
TOPLINE_SINCLAIR_LANLUMA_20260530,prod_ab483f36c201,Sinclair Pharma,Lanluma,PLLA Collagen Stimulating Injectable Filler,Injectables,Biostimulator,106,44,62,https://sinclair.com/uk/brands/injectables-and-threads/lanluma/,Lanluma: Safe injectable Poly-L-Lactic acid filler - Sinclair United Kingdom,Lanluma: Safe injectable Poly-L-Lactic acid filler - Sinclair United Kingdom,"INDICATION; Lanluma is a poly-L-lactic acid implant suitable for increasing the volume of depressed areas, particularly to correct skin depressions."
REC_0763,prod_d6d866cbb755,Wonder Technology,Wonder,Wonder Axon / Prestige,EBD,EMS,106,44,62,https://aeonex.com/products/wonder-axon-2025-rf-and-emf-laser-device,"Wonder Axon 2025 RF and EMF Laser Device
 – AeonEx","Wonder Axon 2025 RF & EMF device | muscle-firming; laxity; fat
 – AeonEx","Indications; Enhancing muscle mass and reducing fat tissue, Skin Rejuvenation."
REC_0739,prod_452fa724d75f,Canfield Scientific,VECTRA XT / H2,3D Simulation,Diagnostics,Imaging,102,40,62,https://www.canfieldsci.com/imaging-systems/vectra-h2-3d-imaging-system/,VECTRA H2 3D Imaging System |  Canfield Scientific,VECTRA H2 3D Imaging System |  Canfield Scientific,"Indication of asymmetry by showing the difference in volume between the two breasts.; The user can then make adjustments to the implant parameters, including volume and profile changes to deal with the asymmetry."
REC_0739,prod_452fa724d75f,Canfield Scientific,VECTRA XT / H2,3D Simulation,Diagnostics,Imaging,102,40,62,https://www.canfieldsci.com/imaging-systems/vectra-xt-3d-imaging-system/,VECTRA XT 3D Imaging System |  Canfield Scientific,VECTRA XT 3D Imaging System |  Canfield Scientific,"Indication of asymmetry by showing the difference in volume between the two breasts.; The user can then make adjustments to the implant parameters, including volume and profile changes to deal with the asymmetry."
REC_0560,prod_34c8693e47e6,Ema Aesthetics,Préime,Préime DermaFacial,EBD,Radiofrequency,102,40,62,https://fda.innolitics.com/submissions/SU/subpart-e%E2%80%94surgical-devices/PBX/K243055,Préime DermaFacial Collagen+ (K243055) — FDA 510(k) | Innolitics,Préime DermaFacial Collagen+ (K243055) — FDA 510(k) | Innolitics,"Indications for Use (Describe); The Préime DermaFacial with Collagen+ Applicator is intended to relieve minor muscle aches and pain, relieve muscle spasms, temporarily improve local blood circulation, temporarily improve the appearance of cellulite."
REC_0391,prod_88d161a35dfc,Japan Bio Products / JBP,Laennec / Curacen,Laennec / Curacen,Regenerative,Biologics,102,40,62,https://bio-japan.net/curacen-from-japan,Curacen 50 ampoules X 2 ml placenta for mesotherapy,Buy Curacen 50 vials X 2 ml placenta with amino acids and peptides for mesotherapy online from Japan - Japan Health Center,"Indications Procedures; Prevention, treatment and correction of signs of chrono-and photoaging associated with delayed regeneration of cells with impaired structure of collagen-elastin skeleton, immunological problems (psoriasis, dermatitis, etc.)."
