priority,status,company,brand,standard_product_name,track,form,product_id,seed_record_id,verification_status,official_product_evidence,other_registration_rows,other_regulators,recommended_action
P2,产品已核，韩国 MFDS/KFDA 未确认,Caregen,Dermaheal,Dermaheal,Injectables,Mesotherapy,prod_3db628294f2c,REC_0933,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Caregen,Dermaheal / Aquashine,Skin Booster / Meso,Injectables,Dermal Filler,prod_f72f3e4d0e72,REC_0166,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Caregen,DR. CYJ,DR. CYJ Hair Filler,Injectables,Dermal Filler,prod_64ad26738e7a,REC_0931,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Caregen,Dr. CYJ Hair Filler,Hair Filler,Injectables,Dermal Filler,prod_2c785d3f4372,REC_0201,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Caregen,Prostrolane Series,Peptide Dermal Filler,Injectables,Dermal Filler,prod_d5cee00a7fe9,REC_0569,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Caregen,Revofil,Revofil,Injectables,Dermal Filler,prod_a3b3934f8c77,REC_0934,official_evidence_promoted,yes,2,EUDAMED / European Commission; European Commission / Notified Body,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,AiLEENE / GISELLELIGNE,HA Filler,Injectables,Dermal Filler,prod_f955aa625ac2,REC_0020,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,CELLUNIT,SVF Isolation,Regenerative,Cell Therapy,prod_4f84b27dbc16,REC_0111,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,CGBIO HA Filler,CGBIO NMPA HA filler (deep dermis/subcutaneous),Injectables,Dermal Filler,prod_dab4456d0074,REC_1027,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,CGBIO HA Filler,CGBIO NMPA HA filler (mid-to-deep dermis),Injectables,Dermal Filler,prod_2723b68a7718,REC_1026,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,DERMAREVIVE,Exosome/Microneedle,Regenerative,Exosome,prod_17911e49bc65,REC_0174,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,FACETEM,FACETEM / FACETEM S CaHA Filler,Injectables,Dermal Filler,prod_8f2f08496a8c,REC_0266,official_document_cross_checked,yes,1,Official labeling,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,CGBIO / Cell Growth Bio,NOVOSIS,Growth Factor,Injectables,Dermal Filler,prod_58da5da1427a,REC_0504,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Cha Meditech,Celltermi,Skin Booster,Injectables,Skin Booster,prod_a8401ea0624d,REC_0108,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Cha Meditech,Exosome Skin Booster,Exosome,Injectables,Skin Booster,prod_2d4a8fd2cc8a,REC_0265,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Cha Meditech,HyaFilia,HA Dermal Filler,Injectables,Dermal Filler,prod_a3c4c96b3cb0,REC_0325,official_product_and_spec_cross_checked,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Cha Meditech,HyaFilia ME:DAM,HA Dermal Filler,Injectables,Dermal Filler,prod_fca98d0ecf02,REC_0326,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Chaeum Pharma,VOM / VOM O/M/V,HA Filler,Injectables,Dermal Filler,prod_2458c93e680b,REC_0759,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,CLATUU,CLATUU Alpha,EBD,Cryotherapy,prod_6b6a0e3e9272,REC_0913,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,Clatuu Alpha,Cryolipolysis,EBD,Cryotherapy,prod_c11d7beb341d,REC_0116,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,FORSHAPE,FORSHAPE,EBD,Radiofrequency,prod_fefe21c20b2a,REC_0916,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,Scizer,Body HIFU,EBD,HIFU,prod_dc6dcb5198b0,REC_0633,official_evidence_promoted,yes,1,FDA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,SCIZER,SCIZER,EBD,HIFU,prod_6f5741324e5d,REC_0914,official_product_and_spec_cross_checked,yes,1,FDA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,Ultraformer III / MPT (Shurink),HIFU (Ultrasound),EBD,HIFU,prod_f3ac7de00cf3,REC_0723,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,ULTRAFORMER MPT,Shurink Universe,EBD,HIFU,prod_40e14a3ef3da,REC_0911,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,VOLNEWMER,EVERESSE (US),EBD,Radiofrequency,prod_d28a080f123c,REC_0912,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Classys,Volnewmer,Monopolar RF,EBD,Radiofrequency,prod_d0deae9fe331,REC_0757,official_evidence_promoted,yes,1,FDA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Daewoong,Easydew (RX / DW-EGF),EGF Skincare,Injectables,Skin Booster,prod_0ce1204a3ad1,REC_0214,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Daewoong,V-OLET,Lipolysis,Injectables,Lipolytic,prod_6b766e97c020,REC_0756,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Daeyang Medical,Focus Dual,HIFU + RF Microneedling,EBD,Microneedling,prod_1104b252f1d2,REC_0276,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Daeyang Medical,Liftron,RF Microneedling,EBD,Microneedling,prod_8438280d11e4,REC_0400,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Daeyang Medical,VinuShape,Body Contouring,EBD,Radiofrequency,prod_f487b78b371b,REC_0747,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dermakor,Micro Cannulas,Cannulas,Injectables,Dermal Filler,prod_afa2169379b3,REC_0452,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dexlevo,GOURI,Liquid PCL,Injectables,Biostimulator,prod_c019a8d54482,REC_0307,official_document_cross_checked,yes,1,European Commission / Notified Body,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dexlevo,Miracle,Miracle L / H,Injectables,Biostimulator,prod_02295d3779ba,REC_0459,official_product_page_cross_checked,yes,1,European Commission / Notified Body,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,DFK Biolab,Exo One,Exosomes,Regenerative,Exosome,prod_1ce5f9b8db37,REC_0259,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,DFK Biolab,Hyalmass,Body Filler,Injectables,Dermal Filler,prod_e7b0d1042e84,REC_0329,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongbang Medical,Elasty Filler,Elasty Filler NMPA HA filler (mid-to-deep dermis),Injectables,Dermal Filler,prod_321e882f2e01,REC_1024,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongbang Medical,Elasty Filler,Elasty Filler NMPA HA filler (nasolabial fold),Injectables,Dermal Filler,prod_097ef8f4bb10,REC_1025,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongbang Medical,Elasty Filler,HA Dermal Filler,Injectables,Dermal Filler,prod_023b84807c23,REC_0219,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongbang Medical,Elasty Threads,PDO Threads,Injectables,Thread Lift,prod_b7b47ba01d84,REC_0220,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongkook Pharma,Bellast (贝拉斯特),HA Dermal Filler,Injectables,Dermal Filler,prod_0514ecba49cc,REC_0068,official_product_page_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongkook Pharma,Centellian24 (Madeca Cream),Cosmeceuticals,EBD,Microneedling,prod_d3653ff5a469,REC_0112,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dongkook Pharma,Hyaron (海珠),HA Skin Booster,Injectables,Dermal Filler,prod_ff0ece9e27eb,REC_0332,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dr. PRP,Dr. PRP Centrifuge,Centrifuge,EBD,Radiofrequency,prod_4ca2005d07dc,REC_0204,official_spec_candidate_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Dr. PRP,Dr. PRP Kit,PRP Kit,EBD,Radiofrequency,prod_7e29af20abe6,REC_0205,official_spec_candidate_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,DTS MG,DTS Roller (Disk Type),Microneedling,EBD,Microneedling,prod_348cede7a525,REC_0206,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,DTS MG,Genosys (荷诺诗),Post-Procedure,EBD,Laser,prod_f0fc46662ee2,REC_0297,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,DTS MG,HR3 Matrix,Hair Loss,EBD,Microneedling,prod_cd3bd51cb4e5,REC_0320,official_spec_candidate_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Eunsung,Eunsung,CoolShaping 2,EBD,Cryotherapy,prod_12bd71c49908,REC_0247,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Eunsung,Eunsung,Vital Injector 2 / 3,Injectables,Mesotherapy,prod_d227177895d7,REC_0245,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,ExoCoBio,ASCE+,Regenerative Aesthetics,Regenerative,Exosome,prod_af01da567664,REC_0050,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,ExoCoBio,Celltweet,Cosmeceuticals,Regenerative,Exosome,prod_71b18457443a,REC_0109,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
