company_id,company,listed_entity_name,stock_code,exchange,ticker_symbol,listing_country,sec_cik,current_revenue_usd_m,current_revenue_year,current_gross_margin_pct,current_source_url,operational_status,responsible_module,plan_id,query,expected_source,next_action,generated_at
co_bac5ab36d84d,Hironic,Hironic,KRX:149980,KRX,149980,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_378e4e173e69,Hironic KRX:149980 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_8f51008b9523,Huons Meditech,Huons Meditech,KRX:243070,KRX,243070,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_3910c80a7e8e,"""Huons Meditech"" KRX:243070 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_326764b924a4,Ilooda,Classys,KRX:214150,KRX,214150,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_bb8437dfad8f,Classys KRX:214150 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_1418ea0f3165,Jetema,Jetema,KRX:216080,KRX,216080,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_e2433b4cfa61,Jetema KRX:216080 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_0795c0f3f22e,Julphar,Julphar,JULPHAR,,JULPHAR,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_ead3236b94ac,Julphar JULPHAR investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_314282d4909e,Kaneka Corporation,Kaneka Corporation,4118.T,T,4118.T,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_3981313e816f,"""Kaneka Corporation"" 4118.T T investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_d6440f82a9a2,LG Chem,LG Chem,KRX:051910,KRX,051910,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_22d3ca8526eb,"""LG Chem"" KRX:051910 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_c621592aac90,Lumibird,Lumibird,LBIRD.PA,PA,LBIRD.PA,,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_e760283653be,Lumibird LBIRD.PA PA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_f1444f50d0fc,Maxigen Biotech / MBI,Maxigen Biotech / MBI,1783.TWO,TWO,1783.TWO,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_faa2cc629e80,"""Maxigen Biotech / MBI"" 1783.TWO TWO investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_11eac4967d16,Meta Biomed,Meta Biomed,KRX:059210,KRX,059210,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_909fa84dd62f,"""Meta Biomed"" KRX:059210 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
,Novartis,NOVARTIS AG,NASDAQ:NOVN,NASDAQ,NOVN,US,0001114448,,,,,ready_to_collect,sec_xbrl_collector,,,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
,Obagi,Waldencast plc,NASDAQ:WALD,NASDAQ,WALD,US,0001840199,,,,,ready_to_collect,sec_xbrl_collector,,,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
,Osteopore,Osteopore,OSX.ASX,ASX,OSX.ASX,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,,,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_899ad9993fec,Quanta System,El.En.,ELN.MI,BORSA ITALIANA,ELN.MI,IT,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_a099488b6d1f,El.En. ELN.MI BORSA ITALIANA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_155831ecf12c,Revance Therapeutics,Revance Therapeutics Inc,NASDAQ:RVNC,NASDAQ,RVNC,US,0001388649,,,,,ready_to_collect,sec_xbrl_collector,cosplan_7d37d4e697fc,"""Revance Therapeutics Inc"" NASDAQ:RVNC NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_facd9a6ad8cf,Samyang Holdings,Samyang Holdings,KRX:000070,KRX,000070,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_7ef12156cd0b,"""Samyang Holdings"" KRX:000070 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_93f3d88be68a,SciVision Biotech,SciVision Biotech,1786.TW,TW,1786.TW,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_043a4333d026,"""SciVision Biotech"" 1786.TW TW investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_6c5df66586f1,Sinclair Pharma,Huadong Medicine,000963.SZ,SZSE,000963.SZ,CN,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_7717db3ecfc8,"""Huadong Medicine"" 000963.SZ SZSE investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_5a732eebc6b5,Sofwave Medical,Sofwave Medical,SOFW.TA,TA,SOFW.TA,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_0e8c8caa40ce,"""Sofwave Medical"" SOFW.TA TA investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_ea65636d4d75,ViOL,ViOL,KRX:335890,KRX,335890,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_b8816215bf8b,ViOL KRX:335890 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
,Waldencast,Waldencast plc,NASDAQ:WALD,NASDAQ,WALD,US,0001840199,,,,,ready_to_collect,sec_xbrl_collector,,,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_592c40ca0c6d,Wontech,Wontech,KRX:216280,KRX,216280,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_a6cabcda6feb,Wontech KRX:216280 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_cf401ffd51b6,Allergan,AbbVie Inc.,NASDAQ:ABBV,NASDAQ,ABBV,US,0001551152,61160.00,2025,19.73,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_076f1ba48c3e,"""AbbVie Inc."" NASDAQ:ABBV NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_83052922054b,Alma Lasers,Sisram Medical,HKEX:1696,HKEX,1696,HK,,365.3,2025,58.9,https://sisram-medical.com/wp-content/uploads/2026/04/ENG-Sisram-2025-Annual-Report.pdf,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_c59e87ac6a57,"""Sisram Medical"" HKEX:1696 HKEX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_ea11172b59bc,Apyx Medical,Apyx Medical Corp,NASDAQ:APYX,NASDAQ,APYX,US,0000719135,52.84,2025,62.53,https://data.sec.gov/api/xbrl/companyfacts/CIK0000719135.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_63a973d79f7c,"""Apyx Medical Corp"" NASDAQ:APYX NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_2dac0f5dd9af,Beauty Health,SkinHealth Systems Inc.,NASDAQ:SKIN,NASDAQ,SKIN,US,0001818093,300.79,2025,65.28,https://data.sec.gov/api/xbrl/companyfacts/CIK0001818093.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_6ca183bc03c0,"""SkinHealth Systems Inc."" NASDAQ:SKIN NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_8bad4b58ff47,Caregen,Caregen,KRX:214370,KRX,214370,KR,,60.57,2024,66.98,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20250317001260&method=search,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_41a4d8516fc8,Caregen KRX:214370 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_a48a6103f37e,Classys,Classys,KRX:214150,KRX,214150,KR,,178.18,2024,78.67,https://classys.com/wp-content/uploads/sites/2/2025/04/Annual-Report_CLASSYS_2024_Eng_vS_250430.pdf,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_f305208a7abf,Classys KRX:214150 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_78d004d00c9c,Cutera,CUTERA INC,NASDAQ:CUTR,NASDAQ,CUTR,US,0001162461,49.94,2020,83.08,https://data.sec.gov/api/xbrl/companyfacts/CIK0001162461.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_d4b24562494c,"""CUTERA INC"" NASDAQ:CUTR NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_3e66a07fd5fd,Daewoong,Daewoong,KRX:069620,KRX,069620,KR,,1105.17,2025,52.36,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318002184&method=search,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_b720141ca235,Daewoong KRX:069620 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_679ba894b79b,Establishment Labs,ESTABLISHMENT LABS HOLDINGS INC.,NASDAQ:ESTA,NASDAQ,ESTA,US,0001688757,211.08,2025,69.32,https://data.sec.gov/api/xbrl/companyfacts/CIK0001688757.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_21ef26b83222,"""ESTABLISHMENT LABS HOLDINGS INC."" NASDAQ:ESTA NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_dcd822423379,Evolus,"Evolus, Inc.",NASDAQ:EOLS,NASDAQ,EOLS,US,0001570562,297.18,2025,66.33,https://data.sec.gov/api/xbrl/companyfacts/CIK0001570562.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_a84227ba79ea,"""Evolus, Inc."" NASDAQ:EOLS NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_100e7fd504d3,Halozyme Therapeutics,"HALOZYME THERAPEUTICS, INC.",NASDAQ:HALO,NASDAQ,HALO,US,0001159036,1396.61,2025,0.44,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_79a33cca9ce1,"""HALOZYME THERAPEUTICS, INC."" NASDAQ:HALO NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_4ae5806d21fa,Hugel,Hugel,KRX:145020,KRX,145020,KR,,273.61,2024,76.98,https://cdn.prod.website-files.com/65d4bcfd06a8be5d2448b946/68648526442d861d6b8a69da_HUGEL_AR_2024_EN.pdf,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_3202381e0f36,Hugel KRX:145020 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_7a6f66b2861e,InMode,InMode Ltd.,NASDAQ:INMD,NASDAQ,INMD,US,0001742692,370.50,2025,78.54,https://data.sec.gov/api/xbrl/companyfacts/CIK0001742692.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_c1c4bbc1207b,"""InMode Ltd."" NASDAQ:INMD NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_76db60d04479,Ipsen Pharma,Ipsen Pharma,IPN.PA,PA,IPN.PA,,,4156.05,2025,86.5,https://www.ipsen.com/wp-content/uploads/2026/02/Ipsen-PR_FY-2025-Results-Announcement_12022026.pdf,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_f0cea917d402,"""Ipsen Pharma"" IPN.PA PA investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_a133809740b7,Johnson & Johnson,JOHNSON & JOHNSON,NASDAQ:JNJ,NASDAQ,JNJ,US,0000200406,94193.00,2025,67.88,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_51e599e23a2f,"""JOHNSON & JOHNSON"" NASDAQ:JNJ NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_e88e88c84032,L'Oréal,L'Oréal,OR.PA,PA,OR.PA,,,49806.14,2025,74.3,https://www.loreal.com/en/press-release/finance/2025-annual-results/,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_534688e10ed0,L'Oréal OR.PA PA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_35faa8063d5e,Medytox,Medytox,KRX:086900,KRX,086900,KR,,167.68,2024,60.81,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20250320002216&method=search,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_39576894155f,Medytox KRX:086900 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_61e6816901f7,PharmaResearch / PR Bio,PharmaResearch / PR Bio,KRX:214450,KRX,214450,KR,,256.79,2024,71.76,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20250317000988&method=search,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_747298a31ce3,"""PharmaResearch / PR Bio"" KRX:214450 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_c8389fa251ed,Solta Medical,Bausch Health Companies Inc.,NASDAQ:BHC,NASDAQ,BHC,US,0000885590,10266.00,2025,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885590.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_a4bc4f6aa9a3,"""Bausch Health Companies Inc."" NASDAQ:BHC NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
co_ef311b352c67,Venus Concept,Venus Concept Inc.,NASDAQ:VERO,NASDAQ,VERO,US,0001409269,64.83,2024,68.34,https://data.sec.gov/api/xbrl/companyfacts/CIK0001409269.json,promoted_to_companies,already_promoted_company_financial_metrics,cosplan_4aaaf4b69348,"""Venus Concept Inc."" NASDAQ:VERO NASDAQ investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,Keep refreshed during financial promote runs.,2026-07-07T12:46:18+08:00
